driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,temp_mC
r8169,1500,tcp,tx,default,100,1,2.3558545901781955,0,0,0,0.00,0.22,0.00,1.19,88125
r8169,1500,tcp,tx,default,100,2,2.3560016238252763,0,0,0,0.00,0.23,0.00,1.20,86875
r8169,1500,tcp,tx,default,100,3,2.3564313762819675,0,0,0,0.00,0.23,0.00,1.24,86750
r8169,1500,tcp,rx,default,100,1,2.3525783915879734,0,0,0,0.00,0.05,0.00,0.07,87750
r8169,1500,tcp,rx,default,100,2,2.352772242186475,0,0,0,0.00,0.04,0.00,0.08,88250
r8169,1500,tcp,rx,default,100,3,2.3527940459473373,0,0,0,0.00,0.03,0.00,0.06,88500
r8169,1500,tcp,bidir,default,100,1,4.701294213900089,0,0,0,0.00,0.29,0.00,0.33,87750
r8169,1500,tcp,bidir,default,100,2,4.7021451937614405,0,0,0,0.01,0.29,0.00,0.37,86500
r8169,1500,tcp,bidir,default,100,3,4.702859661020357,0,0,0,0.00,0.30,0.00,0.38,86875
r8169,1500,udp,rx,default,100,1,2.3900367120836292,0,0,0.00642011784996929,0.06,0.68,0.00,0.18,88750
r8169,1500,udp,rx,default,100,2,2.39006317074456,0,0,0.00441641810364017,0.07,0.68,0.00,0.19,88750
r8169,1500,udp,rx,default,100,3,2.3898043678329177,0,0,0.020906100537935759,0.07,0.68,0.00,0.19,87875
r8169,1500,tcp,tx,gro-off,100,1,2.3558729644989986,0,0,0,0.00,0.23,0.00,1.22,86375
r8169,1500,tcp,tx,gro-off,100,2,2.355739585024931,0,0,0,0.00,0.24,0.00,1.22,86750
r8169,1500,tcp,tx,gro-off,100,3,2.355989829092639,0,0,0,0.00,0.22,0.00,1.21,87750
r8169,1500,tcp,rx,gro-off,100,1,2.3530213985996924,0,0,0,0.00,0.08,0.00,0.20,88625
r8169,1500,tcp,rx,gro-off,100,2,2.3530079004071345,0,0,0,0.00,0.08,0.00,0.21,88375
r8169,1500,tcp,rx,gro-off,100,3,2.3529994303520088,0,0,0,0.00,0.07,0.00,0.21,87250
r8169,1500,tcp,tx,tso-off,100,1,2.3564853342276617,0,0,0,0.00,0.24,0.00,1.90,86625
r8169,1500,tcp,tx,tso-off,100,2,2.356592068530552,0,0,0,0.00,0.24,0.00,1.82,87375
r8169,1500,tcp,tx,tso-off,100,3,2.3561722002756382,0,0,0,0.00,0.24,0.00,1.74,88125
r8169,1500,tcp,rx,tso-off,100,1,2.3528499617575127,0,0,0,0.00,0.01,0.00,0.08,88750
r8169,1500,tcp,rx,tso-off,100,2,2.35259932779586,0,0,0,0.00,0.03,0.00,0.11,87875
r8169,1500,tcp,rx,tso-off,100,3,2.3528860396609703,0,0,0,0.00,0.01,0.00,0.11,86750
r8169,1500,tcp,tx,all-off,100,1,2.3564431572819546,0,0,0,0.00,0.25,0.00,1.76,86875
r8169,1500,tcp,tx,all-off,100,2,2.3564195953997777,0,0,0,0.01,0.26,0.00,1.93,88125
r8169,1500,tcp,tx,all-off,100,3,2.356335247042919,0,0,0,0.00,0.24,0.00,1.89,88750
r8169,1500,tcp,rx,all-off,100,1,2.3529115217410217,0,0,0,0.00,0.10,0.00,0.17,88125
r8169,1500,tcp,rx,all-off,100,2,2.35302319371667,0,0,0,0.00,0.11,0.00,0.22,87125
r8169,1500,tcp,rx,all-off,100,3,2.352993313127897,0,0,0,0.00,0.10,0.00,0.19,86500
r8169,1500,udp,rx,default,25,1,0.624998068062476,0,0,0.010409940467844193,0.01,0.07,0.00,0.42,87750
r8169,1500,udp,rx,default,25,2,0.624998597114195,0,0,0.014185983573055252,0.01,0.07,0.00,0.44,88375
r8169,1500,udp,rx,default,25,3,0.6249979883396093,0,0,0.0138681398888246,0.01,0.08,0.00,0.42,88625
r8169,1500,udp,rx,default,50,1,1.2499975767718068,0,0,0.0087682644531103943,0.01,0.30,0.00,0.40,87750
r8169,1500,udp,rx,default,50,2,1.249996256906304,0,0,0.00936705354849382,0.01,0.06,0.00,0.28,86875
r8169,1500,udp,rx,default,50,3,1.2499951362129353,0,0,0.0090419040801008044,0.02,0.10,0.00,0.31,87125
r8169,1500,udp,rx,default,75,1,1.8749967105194085,0,0,0.0070825799811356,0.01,0.11,0.00,0.28,88625
r8169,1500,udp,rx,default,75,2,1.874993418666031,0,0,0.00636532979940001,0.05,0.82,0.00,0.14,88125
