driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,temp_mC
r8125_rust,1500,tcp,tx,default,100,1,2.3557137015705387,0,0,0,0.00,0.32,0.00,0.52,87625
r8125_rust,1500,tcp,tx,default,100,2,2.355796853191955,0,0,0,0.00,0.28,0.00,0.47,87875
r8125_rust,1500,tcp,tx,default,100,3,2.356497115767183,0,0,0,0.00,0.31,0.00,0.52,88500
r8125_rust,1500,tcp,rx,default,100,1,2.3531289839780944,0,0,0,0.03,0.67,0.00,3.04,89750
r8125_rust,1500,tcp,rx,default,100,2,2.3529043102763825,0,0,0,0.02,0.65,0.00,2.99,88625
r8125_rust,1500,tcp,rx,default,100,3,2.3530355162847885,0,0,0,0.03,0.67,0.00,3.01,88000
r8125_rust,1500,tcp,bidir,default,100,1,4.574573795445053,0,0,0,0.02,0.75,0.00,2.86,88000
r8125_rust,1500,tcp,bidir,default,100,2,4.572453246409903,0,0,0,0.02,0.74,0.00,2.92,88125
r8125_rust,1500,tcp,bidir,default,100,3,4.567072284451102,0,0,0,0.02,0.72,0.00,2.90,87375
r8125_rust,1500,udp,rx,default,100,1,2.390216840347845,0,0.01642884420415577,0.004075834372284674,0.11,1.01,0.00,2.34,87500
r8125_rust,1500,udp,rx,default,100,2,2.2983474630065537,0,0,0.0022197883816585029,0.14,1.54,0.00,2.18,88500
r8125_rust,1500,udp,rx,default,100,3,2.390214182995596,0,0.070896415636172966,0.010732572629843383,0.11,1.06,0.00,2.31,89250
r8125_rust,1500,tcp,tx,gro-off,100,1,2.3564810929022726,0,0,0,0.00,0.26,0.00,0.47,86375
r8125_rust,1500,tcp,tx,gro-off,100,2,2.355485125989466,0,0,0,0.00,0.30,0.00,0.49,86125
r8125_rust,1500,tcp,tx,gro-off,100,3,2.3555179027815885,0,0,0,0.00,0.32,0.00,0.56,86500
r8125_rust,1500,tcp,rx,gro-off,100,1,2.3527947517540717,0,0,0,0.03,0.63,0.00,2.88,90750
r8125_rust,1500,tcp,rx,gro-off,100,2,2.3528020451151277,0,0,0,0.02,0.69,0.00,2.93,90000
r8125_rust,1500,tcp,rx,gro-off,100,3,2.35300328115202,0,0,0,0.03,0.68,0.00,3.05,89125
r8125_rust,1500,tcp,tx,tso-off,100,1,2.356030114464162,0,0,0,0.00,0.27,0.00,0.95,85875
r8125_rust,1500,tcp,tx,tso-off,100,2,2.355657580649242,0,0,0,0.00,0.32,0.00,1.26,85375
r8125_rust,1500,tcp,tx,tso-off,100,3,2.356376479528679,0,0,0,0.00,0.32,0.00,1.04,86375
r8125_rust,1500,tcp,rx,tso-off,100,1,2.352983431525367,0,0,0,0.03,0.66,0.00,3.04,90875
r8125_rust,1500,tcp,rx,tso-off,100,2,2.353057780857573,0,0,0,0.03,0.65,0.00,2.93,90125
r8125_rust,1500,tcp,rx,tso-off,100,3,2.35292893195092,0,0,0,0.08,0.68,0.00,2.90,89625
r8125_rust,1500,tcp,tx,all-off,100,1,2.3560550873744703,0,0,0,0.00,0.30,0.00,0.94,86250
r8125_rust,1500,tcp,tx,all-off,100,2,2.3562329862420417,0,0,0,0.00,0.26,0.00,0.97,85750
r8125_rust,1500,tcp,tx,all-off,100,3,2.3554186656880427,0,0,0,0.00,0.26,0.00,0.93,86875
r8125_rust,1500,tcp,rx,all-off,100,1,2.35286062891356,0,0,0,0.03,0.66,0.00,2.94,91250
r8125_rust,1500,tcp,rx,all-off,100,2,2.352785499669981,0,0,0,0.02,0.64,0.00,2.96,89625
r8125_rust,1500,tcp,rx,all-off,100,3,2.352837022004033,0,0,0,0.02,0.71,0.00,2.97,88875
r8125_rust,1500,udp,rx,default,25,1,0.6249984559460674,0,0,0.00460829970367509,0.01,0.13,0.00,0.65,85875
r8125_rust,1500,udp,rx,default,25,2,0.6249981629065515,0,0.0641254932195631,0.0047531501237432564,0.01,0.13,0.00,0.65,85875
r8125_rust,1500,udp,rx,default,25,3,0.6249993331275417,0,0,0.0048386887824950443,0.02,0.13,0.00,0.64,86875
r8125_rust,1500,udp,rx,default,50,1,1.2499988869066343,0,0,0.0058571442242025184,0.06,0.56,0.00,1.91,88000
r8125_rust,1500,udp,rx,default,50,2,1.2499965844100587,0,0.0323406274267054,0.0063220485308312,0.06,0.49,0.00,2.05,88000
r8125_rust,1500,udp,rx,default,50,3,1.2499966112931233,0,0.024926679423443125,0.0065701887449267238,0.05,0.37,0.00,1.89,87250
r8125_rust,1500,udp,rx,default,75,1,1.8749921461974024,0,0,0.0061809561392103278,0.08,0.67,0.00,2.30,88125
r8125_rust,1500,udp,rx,default,75,2,1.8749902703091847,0,0,0.0070540001657338263,0.16,0.88,0.00,2.01,87125
r8125_rust,1500,udp,rx,default,75,3,1.8749922130033665,0,0,0.00631027298704472,0.07,0.66,0.00,2.07,87250
r8125_rust,9000,tcp,tx,default,100,1,2.47695481366913,0,0,0,0.01,0.02,0.00,0.01,85500
r8125_rust,9000,tcp,tx,default,100,2,2.4770028636230284,0,0,0,0.00,0.12,0.00,0.01,85500
r8125_rust,9000,tcp,tx,default,100,3,2.4768701872852503,0,0,0,0.00,0.84,0.00,0.39,86375
r8125_rust,9000,tcp,rx,default,100,1,2.4727887791085745,0,0,0,0.06,0.22,0.00,0.80,88000
r8125_rust,9000,tcp,rx,default,100,2,2.473132278110006,0,0,0,0.01,0.18,0.00,0.75,87875
