driver,framesize,dir,pps,mbps,loss_pct
r8169,64,tx,1061242,543,0.00879858770420919
r8169,64,rx,848835,435,0.07363943719305123
r8169,128,tx,1055376,1081,0.55349574765974463
r8169,128,rx,840345,860,0.0991305258248583
r8169,256,tx,955049,1956,0.57078853984570455
r8169,256,rx,816631,1672,0.015744437659127784
r8169,512,tx,540616,2214,0
r8169,512,rx,540215,2213,0
r8169,1024,tx,286670,2349,0.0023714698230465018
r8169,1024,rx,286542,2347,0
r8169,1448,tx,206388,2391,0.0010656436487638534
r8169,1448,rx,206280,2390,0
