driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8169,1500,tcp,tx,default,100,1,2.35612910379387,0,0,0,0.02,0.26,0.00,0.84,106979
r8169,1500,tcp,tx,default,100,2,2.3563140439512753,0,0,0,0.00,0.22,0.00,0.41,104732
r8169,1500,tcp,tx,default,100,3,2.356257502422071,0,0,0,0.02,0.24,0.00,0.58,105677
r8169,1500,tcp,rx,default,100,1,2.3526071250903073,0,0,0,0.00,0.15,0.00,0.01,3
r8169,1500,tcp,rx,default,100,2,2.3527169243559976,0,0,0,0.00,0.14,0.00,0.01,2
r8169,1500,tcp,rx,default,100,3,2.352525592278042,0,0,0,0.00,0.17,0.00,0.01,3
r8169,1500,tcp,bidir,default,100,1,4.702119086148669,0,0,0,0.08,0.34,0.00,0.05,142
r8169,1500,tcp,bidir,default,100,2,4.702887248810747,0,0,0,0.01,0.37,0.00,0.02,7
r8169,1500,tcp,bidir,default,100,3,4.703206267886322,0,0,0,0.00,0.36,0.00,0.05,46
r8169,1500,tcp6,tx,default,100,1,2.3243440498495165,0,0,0,0.01,0.24,0.00,0.85,105802
r8169,1500,tcp6,tx,default,100,2,2.3237596522515997,0,0,0,0.01,0.31,0.00,0.81,106250
r8169,1500,tcp6,tx,default,100,3,2.325058878975265,0,0,0,0.01,0.22,0.00,0.82,106431
r8169,1500,tcp6,rx,default,100,1,2.3203594381254584,0,0,0,0.00,0.16,0.00,0.02,2
r8169,1500,tcp6,rx,default,100,2,2.320333337416145,0,0,0,0.06,0.16,0.00,0.02,2
r8169,1500,tcp6,rx,default,100,3,2.3203327574070522,0,0,0,0.01,0.16,0.00,0.02,3
r8169,1500,udp,tx,default,100,1,2.3909825737010766,0,0,0.0024910938587280056,0.12,0.49,0.00,0.65,121397
r8169,1500,udp,tx,default,100,2,2.3909421958108066,0,0,0.0042920202431894,0.12,0.53,0.00,0.43,121339
r8169,1500,udp,tx,default,100,3,2.39093567271342,0,0,0.0019302004560719107,0.13,0.57,0.00,0.87,120474
r8169,1500,udp,rx,default,100,1,2.389982159574541,0,0,0.0063065579389984337,0.08,0.60,0.00,0.03,2
r8169,1500,udp,rx,default,100,2,2.389466115291585,0,0,0.0064992102323850279,0.08,0.75,0.00,0.08,4
r8169,1500,udp,rx,default,100,3,2.3893975620038246,0,0,0.019168084152144087,0.08,0.79,0.00,0.08,2
r8169,1500,tcp,tx,gro-off,100,1,2.3568176327479033,0,0,0,0.08,0.27,0.00,0.86,107317
r8169,1500,tcp,tx,gro-off,100,2,2.356945737844731,0,0,0,0.01,0.23,0.00,0.82,106264
r8169,1500,tcp,tx,gro-off,100,3,2.356019549740081,0,0,0,0.01,0.26,0.00,0.84,106720
r8169,1500,tcp,rx,gro-off,100,1,2.352579399575053,0,0,0,0.01,0.16,0.00,0.02,5
r8169,1500,tcp,rx,gro-off,100,2,2.352620565289232,0,0,0,0.02,0.17,0.00,0.09,4
r8169,1500,tcp,rx,gro-off,100,3,2.352844157429998,0,0,0,0.00,0.15,0.00,0.06,2
