driver,framesize,dir,pps,mbps,loss_pct
r8125_rust,64,tx,45,0,0
r8125_rust,64,rx,773260,396,0.0011894788014191
r8125_rust,128,tx,45,0,0
r8125_rust,128,rx,960431,983,0.03737138621818227
r8125_rust,256,tx,45,0,5.8295964125560538
r8125_rust,256,rx,779804,1597,0.025924393084571985
r8125_rust,512,tx,34,0,0
r8125_rust,512,rx,537677,2202,0.068839941000711835
r8125_rust,1024,tx,19,0,0
r8125_rust,1024,rx,286615,2348,0.0017441523803145196
r8125_rust,1448,tx,36,0,0
r8125_rust,1448,rx,206357,2390,0.0029069936453118912
