driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8125_rust,1500,tcp,tx,default,100,1,2.355738901094396,0,0,0,0.01,0.24,0.00,0.05,7251
r8125_rust,1500,tcp,tx,default,100,2,2.355646124545025,0,0,0,0.01,0.22,0.00,0.08,7318
r8125_rust,1500,tcp,tx,default,100,3,2.356319639354322,0,0,0,0.00,0.21,0.00,0.05,7266
r8125_rust,1500,tcp,rx,default,100,1,2.352851215109374,0,0,0,0.03,0.44,0.00,1.00,40629
r8125_rust,1500,tcp,rx,default,100,2,2.352842098948156,0,0,0,0.02,0.38,0.00,0.66,40755
r8125_rust,1500,tcp,rx,default,100,3,2.3530794362284597,0,0,0,0.01,0.43,0.00,0.95,40526
r8125_rust,1500,tcp,bidir,default,100,1,4.606122543566048,0,0,0,0.02,0.72,0.00,1.16,37342
r8125_rust,1500,tcp,bidir,default,100,2,4.610961138301012,0,0,0,0.09,0.66,0.00,1.12,37135
r8125_rust,1500,tcp,bidir,default,100,3,4.6082178265775395,0,0,0,0.02,0.69,0.00,1.14,37126
r8125_rust,1500,tcp6,tx,default,100,1,2.32299171901724,0,0,0,0.01,0.25,0.00,0.11,7301
r8125_rust,1500,tcp6,tx,default,100,2,2.323166901735778,0,0,0,0.02,0.26,0.00,0.05,7129
r8125_rust,1500,tcp6,tx,default,100,3,2.3232552707421497,0,0,0,0.00,0.25,0.00,0.09,7150
r8125_rust,1500,tcp6,rx,default,100,1,2.3202051820444716,0,0,0,0.02,0.44,0.00,0.80,41043
r8125_rust,1500,tcp6,rx,default,100,2,2.3204623625286196,0,0,0,0.02,0.39,0.00,0.93,41517
r8125_rust,1500,tcp6,rx,default,100,3,2.3205168504640437,0,0,0,0.09,0.38,0.00,1.11,41728
r8125_rust,1500,udp,tx,default,100,1,0.00026201342442907187,0,0,0,0.90,1.67,0.00,0.00,2
r8125_rust,1500,udp,tx,default,100,2,0.00038941016924074357,0,0,0,0.85,1.73,0.00,0.00,2
r8125_rust,1500,udp,tx,default,100,3,0.0003980760490702208,0,0,0,0.86,1.71,0.00,0.01,2
r8125_rust,1500,udp,rx,default,100,1,2.3896651782054077,0,0.010299597103995637,0.00505268824019157,0.15,1.01,0.00,0.76,50572
r8125_rust,1500,udp,rx,default,100,2,2.3888061698855645,0,0.013878569186182521,0.013282923507910962,0.15,0.91,0.00,0.53,50510
r8125_rust,1500,udp,rx,default,100,3,2.3899387732018873,0,0.00296832074825914,0.0064297793442874415,0.11,0.99,0.00,0.70,51716
r8125_rust,1500,tcp,tx,gro-off,100,1,2.3560215926194132,0,0,0,0.00,0.20,0.00,0.05,7263
r8125_rust,1500,tcp,tx,gro-off,100,2,2.3560171755741885,0,0,0,0.07,0.25,0.00,0.09,7342
r8125_rust,1500,tcp,tx,gro-off,100,3,2.355458845625385,0,0,0,0.01,0.27,0.00,0.14,7320
