driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8169,1500,tcp,tx,default,100,1,2.356251612835496,0,0,0,0.03,0.26,0.00,0.75,106205
r8169,1500,tcp,tx,default,100,2,2.3562345267476803,0,0,0,0.02,0.25,0.00,0.83,106408
r8169,1500,tcp,tx,default,100,3,2.356404454141682,0,0,0,0.02,0.25,0.00,0.84,106777
r8169,1500,tcp,rx,default,100,1,2.352723687609792,0,0,0,0.01,0.16,0.00,0.02,3
r8169,1500,tcp,rx,default,100,2,2.3529731545989643,0,0,0,0.00,0.14,0.00,0.02,2
r8169,1500,tcp,rx,default,100,3,2.352610065683805,0,0,0,0.00,0.16,0.00,0.02,4
r8169,1500,tcp,bidir,default,100,1,4.703305293072719,0,0,0,0.08,0.38,0.00,0.07,128
r8169,1500,tcp,bidir,default,100,2,4.702496082771473,0,0,0,0.01,0.36,0.00,0.03,57
r8169,1500,tcp,bidir,default,100,3,4.701586629048773,0,0,0,0.01,0.35,0.00,0.03,20
r8169,1500,tcp6,tx,default,100,1,2.3244385295368097,0,0,0,0.01,0.26,0.00,0.83,106573
r8169,1500,tcp6,tx,default,100,2,2.3240485420148387,0,0,0,0.02,0.27,0.00,0.78,106709
r8169,1500,tcp6,tx,default,100,3,2.32391516803969,0,0,0,0.01,0.25,0.00,0.82,105397
r8169,1500,tcp6,rx,default,100,1,2.320380029099368,0,0,0,0.00,0.13,0.00,0.02,2
r8169,1500,tcp6,rx,default,100,2,2.3204609124270688,0,0,0,0.00,0.16,0.00,0.02,2
r8169,1500,tcp6,rx,default,100,3,2.3203661084009326,0,0,0,0.07,0.16,0.00,0.02,2
r8169,1500,udp,tx,default,100,1,2.390872555118071,0,0,0.0043334487295348468,0.11,0.52,0.00,0.70,120546
r8169,1500,udp,tx,default,100,2,2.39099550049087,0,0,0.0056028440910722236,0.11,0.47,0.00,0.39,122725
r8169,1500,udp,tx,default,100,3,2.3909787866289727,0,0,0.002211909553450405,0.10,0.47,0.00,0.40,121776
r8169,1500,udp,rx,default,100,1,2.3899509252492863,0,0,0.0047950251844908268,0.09,0.86,0.00,0.09,2
r8169,1500,udp,rx,default,100,2,2.3898672937826326,0,0,0.0063979238811012439,0.08,0.83,0.00,0.09,3
r8169,1500,udp,rx,default,100,3,2.390028962696875,0,0,0.0058151370182316416,0.09,0.67,0.00,0.04,3
r8169,1500,tcp,tx,gro-off,100,1,2.3565664284999217,0,0,0,0.08,0.27,0.00,0.82,106814
r8169,1500,tcp,tx,gro-off,100,2,2.3561850625532546,0,0,0,0.01,0.25,0.00,0.84,106910
r8169,1500,tcp,tx,gro-off,100,3,2.357392217067529,0,0,0,0.01,0.24,0.00,0.80,106398
r8169,1500,tcp,rx,gro-off,100,1,2.352700163416358,0,0,0,0.01,0.11,0.00,0.02,3
r8169,1500,tcp,rx,gro-off,100,2,2.3529731545989643,0,0,0,0.02,0.15,0.00,0.07,2
r8169,1500,tcp,rx,gro-off,100,3,2.3529093398940035,0,0,0,0.01,0.16,0.00,0.07,3
r8169,1500,tcp,tx,tso-off,100,1,2.35642006276723,0,0,0,0.00,0.18,0.00,0.85,99233
r8169,1500,tcp,tx,tso-off,100,2,2.3563046201746327,0,0,0,0.01,0.20,0.00,0.85,99772
r8169,1500,tcp,tx,tso-off,100,3,2.35621155669695,0,0,0,0.07,0.24,0.00,0.70,96589
r8169,1500,tcp,rx,tso-off,100,1,2.352828571871371,0,0,0,0.02,0.16,0.00,0.02,2
r8169,1500,tcp,rx,tso-off,100,2,2.3528495500358915,0,0,0,0.08,0.17,0.00,0.05,2
r8169,1500,tcp,rx,tso-off,100,3,2.352710932491278,0,0,0,0.18,0.21,0.00,0.14,2
r8169,1500,tcp,tx,all-off,100,1,2.356141448101519,0,0,0,0.18,0.34,0.00,1.11,99316
r8169,1500,tcp,tx,all-off,100,2,2.3572060715057903,0,0,0,0.26,0.37,0.00,0.75,99263
r8169,1500,tcp,tx,all-off,100,3,2.356223048758282,0,0,0,0.94,0.31,0.00,0.75,100481
r8169,1500,tcp,rx,all-off,100,1,2.3526475297373626,0,0,0,0.01,0.17,0.00,0.02,4
r8169,1500,tcp,rx,all-off,100,2,2.3528394523339378,0,0,0,0.07,0.21,0.00,0.05,2
r8169,1500,tcp,rx,all-off,100,3,2.352699869366917,0,0,0,0.00,0.15,0.00,0.07,4
r8169,1500,udp,tx,default,25,1,0.6249797578521089,0,0,0.0224651398907798,0.04,0.13,0.00,0.06,28348
r8169,1500,udp,tx,default,25,2,0.6249803409488577,0,0,0.029459747641708042,0.04,0.16,0.00,0.06,27289
r8169,1500,udp,tx,default,25,3,0.6249848822978907,0,0,0.022552543931971352,0.02,0.11,0.00,0.06,29136
r8169,1500,udp,rx,default,25,1,0.624997683363712,0,0,0.009233602200708407,0.05,0.22,0.00,0.28,28939
r8169,1500,udp,rx,default,25,2,0.6249965951812623,0,0,0.012520396108419511,0.03,0.15,0.00,0.32,31285
r8169,1500,udp,rx,default,25,3,0.6249955339863824,0,0,0.010122929303606372,0.11,0.23,0.00,0.28,29329
r8169,1500,udp,tx,default,50,1,1.2499647128019016,0,0,0.011289186526708595,0.02,0.13,0.00,0.78,56181
r8169,1500,udp,tx,default,50,2,1.249965097902422,0,0,0.011151777815670007,0.03,0.15,0.00,0.58,54201
r8169,1500,udp,tx,default,50,3,1.2499616192283298,0,0,0.014316625160912857,0.05,0.36,0.00,0.35,49417
r8169,1500,udp,rx,default,50,1,1.2499961155535337,0,0,0.010462326708480208,0.03,0.07,0.00,0.08,9290
r8169,1500,udp,rx,default,50,2,1.2499929277021082,0,0,0.0093997411024245858,0.02,0.18,0.00,0.20,11147
r8169,1500,udp,rx,default,50,3,1.2499942502546542,0,0,0.0095462237408232928,0.01,0.15,0.00,0.19,10803
r8169,1500,udp,tx,default,75,1,1.8749483199047947,0,0,0.00948127738745499,0.06,0.58,0.00,0.96,83708
r8169,1500,udp,tx,default,75,2,1.87494340796051,0,0,0.00955767136748828,0.12,0.51,0.00,1.31,83902
r8169,1500,udp,tx,default,75,3,1.8749574589024354,0,0,0.0070346808011273985,0.07,0.76,0.00,1.15,84508
r8169,1500,udp,rx,default,75,1,1.8749904050495847,0,0,0.00941213554165466,1.15,0.75,0.00,0.07,543
r8169,1500,udp,rx,default,75,2,1.8749892010258933,0,0,0.0068422350202174,0.03,0.11,0.00,0.08,1020
r8169,1500,udp,rx,default,75,3,1.87499287637854,0,0,0.00861434121026729,0.01,0.06,0.00,0.06,1071
r8169,9000,tcp,tx,default,100,1,2.476857072297216,0,0,0,0.02,0.16,0.00,0.32,34827
r8169,9000,tcp,tx,default,100,2,2.4770045304165564,0,0,0,0.00,0.09,0.00,0.07,34924
r8169,9000,tcp,tx,default,100,3,2.4769949335618966,0,0,0,0.00,0.09,0.00,0.09,34847
r8169,9000,tcp,rx,default,100,1,2.472853201631046,0,0,0,0.01,0.22,0.00,0.17,37952
r8169,9000,tcp,rx,default,100,2,2.4728773303857157,0,0,0,1.21,0.42,0.00,0.20,39477
r8169,9000,tcp,rx,default,100,3,2.4728049968715813,0,0,0,0.01,0.25,0.00,0.16,37121
r8169,9000,tcp,bidir,default,100,1,0.0007862014464258357,0,0,0,0.00,0.04,0.00,0.00,8
r8169,9000,tcp,bidir,default,100,2,4.926516747268322,0,0,0,0.02,0.47,0.00,0.53,28162
r8169,9000,tcp,bidir,default,100,3,4.926861848428108,0,0,0,0.03,0.62,0.00,0.37,27977
r8169,9000,tcp6,tx,default,100,1,2.4711019623389694,0,0,0,0.00,0.13,0.00,0.34,34415
r8169,9000,tcp6,tx,default,100,2,2.4712026478882114,0,0,0,0.00,0.12,0.00,0.39,34813
r8169,9000,tcp6,tx,default,100,3,2.4711473624758336,0,0,0,0.07,0.06,0.00,0.39,35063
r8169,9000,tcp6,rx,default,100,1,2.467209891641428,0,0,0,0.01,0.19,0.00,0.16,37463
r8169,9000,tcp6,rx,default,100,2,2.46724782366105,0,0,0,0.01,0.25,0.00,0.19,36230
r8169,9000,tcp6,rx,default,100,3,2.4676613897749538,0,0,0,0.00,0.15,0.00,0.22,37146
r8169,9000,udp,tx,default,100,1,2.3910713114094357,0,0,0.00799369783148231,0.13,0.72,0.00,0.98,120122
r8169,9000,udp,tx,default,100,2,2.391024353127662,0,0,0.0025645390297134372,0.11,0.63,0.00,0.85,120029
r8169,9000,udp,tx,default,100,3,2.3910630331566374,0,0,0.011677338237411,0.13,0.62,0.00,0.75,120357
r8169,9000,udp,rx,default,100,1,2.389870501928089,0,0,0.00613759585592102,0.07,0.76,0.00,0.08,3
r8169,9000,udp,rx,default,100,2,2.389997184643094,0,0,0.0081838782265864166,0.15,0.63,0.00,0.04,3
r8169,9000,udp,rx,default,100,3,2.3899857851992046,0,0,0.0064021956806490053,0.08,0.60,0.00,0.04,2
r8169,9000,tcp,tx,gro-off,100,1,2.4768523205401003,0,0,0,0.01,0.17,0.00,0.40,34731
r8169,9000,tcp,tx,gro-off,100,2,2.47752704273906,0,0,0,0.01,0.10,0.00,0.10,34893
r8169,9000,tcp,tx,gro-off,100,3,2.4775618686527823,0,0,0,0.02,0.70,0.00,0.46,34426
r8169,9000,tcp,rx,gro-off,100,1,2.4730698957666313,0,0,0,0.02,0.25,0.00,0.49,44533
r8169,9000,tcp,rx,gro-off,100,2,2.472885675294204,0,0,0,0.00,0.20,0.00,0.47,44409
r8169,9000,tcp,rx,gro-off,100,3,2.4728164197098015,0,0,0,0.09,0.23,0.00,0.52,46840
r8169,9000,tcp,tx,tso-off,100,1,2.4773964464324654,0,0,0,0.00,0.09,0.00,0.42,34719
r8169,9000,tcp,tx,tso-off,100,2,2.477022795603455,0,0,0,0.00,0.11,0.00,0.23,34994
r8169,9000,tcp,tx,tso-off,100,3,2.4768747171534637,0,0,0,0.01,0.10,0.00,0.28,34822
r8169,9000,tcp,rx,tso-off,100,1,2.47275060211058,0,0,0,0.02,0.20,0.00,0.18,37284
r8169,9000,tcp,rx,tso-off,100,2,2.473065567650241,0,0,0,0.01,0.18,0.00,0.18,37534
r8169,9000,tcp,rx,tso-off,100,3,2.4731536592346703,0,0,0,0.01,0.18,0.00,0.18,37303
r8169,9000,tcp,tx,all-off,100,1,2.47718604669765,0,0,0,0.00,0.12,0.00,0.41,34595
r8169,9000,tcp,tx,all-off,100,2,2.477574874061098,0,0,0,0.07,0.59,0.00,0.51,34444
r8169,9000,tcp,tx,all-off,100,3,2.477522926210741,0,0,0,0.00,0.21,0.00,0.27,34632
r8169,9000,tcp,rx,all-off,100,1,2.4730912232425686,0,0,0,0.02,0.25,0.00,0.49,45614
r8169,9000,tcp,rx,all-off,100,2,2.4540262628221985,0,0,0,0.02,0.24,0.00,0.41,46811
r8169,9000,tcp,rx,all-off,100,3,2.460823958533308,0,0,0,0.03,0.27,0.00,0.46,46510
r8169,9000,udp,tx,default,25,1,0.6249818649627962,0,0,0.02469827332399175,0.02,0.12,0.00,0.07,28845
r8169,9000,udp,tx,default,25,2,0.6249813618516367,0,0,0.024457994568086106,0.02,0.10,0.00,0.26,29869
r8169,9000,udp,tx,default,25,3,0.6249840539591018,0,0,0.025152186251274425,0.03,0.13,0.00,0.16,29219
r8169,9000,udp,rx,default,25,1,0.6249991352347171,0,0,0.00871200501376028,0.11,0.20,0.00,0.17,26312
r8169,9000,udp,rx,default,25,2,0.6249953615814365,0,0,0.00903337157256359,0.05,0.19,0.00,0.29,30233
