driver,framesize,dir,pps,mbps,loss_pct
r8125_rust,64,tx,502710,257,0
r8125_rust,64,rx,864913,443,0.974088879743455
r8125_rust,128,tx,502621,515,0
r8125_rust,128,rx,606934,621,0
r8125_rust,256,tx,630591,1291,6.5774704158898061
r8125_rust,256,rx,870680,1783,10.649089433840674
r8125_rust,512,tx,524417,2148,0
r8125_rust,512,rx,494720,2026,0.989853696471004
r8125_rust,1024,tx,286683,2349,0
r8125_rust,1024,rx,286267,2345,0.0633575447170146
r8125_rust,1448,tx,206394,2391,0
r8125_rust,1448,rx,206403,2391,0.0031971601467205854
