driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8125_rust,1500,tcp,tx,default,100,1,2.3556790241323258,0,0,0,0.07,0.31,0.00,1.01,126362
r8125_rust,1500,tcp,tx,default,100,2,2.3560852146658133,0,0,0,0.01,0.25,0.00,0.93,128992
r8125_rust,1500,tcp,tx,default,100,3,2.35591912143508,0,0,0,0.01,0.29,0.00,0.95,128960
r8125_rust,1500,tcp,rx,default,100,1,2.3531133274265477,0,0,0,0.04,0.50,0.00,1.34,191457
r8125_rust,1500,tcp,rx,default,100,2,2.3530959754411502,0,0,0,0.04,0.47,0.00,1.51,202392
r8125_rust,1500,tcp,rx,default,100,3,2.3531406793807776,0,0,0,0.04,0.41,0.00,1.49,204264
r8125_rust,1500,tcp,bidir,default,100,1,4.574941115907513,0,0,0,0.03,0.56,0.00,1.40,140687
r8125_rust,1500,tcp,bidir,default,100,2,4.572984017325058,0,0,0,0.09,0.64,0.00,1.38,140255
r8125_rust,1500,tcp,bidir,default,100,3,4.57740095238328,0,0,0,0.03,0.59,0.00,1.15,135131
r8125_rust,1500,tcp6,tx,default,100,1,2.32333599314691,0,0,0,0.01,0.28,0.00,1.07,127756
r8125_rust,1500,tcp6,tx,default,100,2,2.323563543931827,0,0,0,0.01,0.24,0.00,0.70,125850
r8125_rust,1500,tcp6,tx,default,100,3,2.323632158188396,0,0,0,0.02,0.28,0.00,0.72,124301
r8125_rust,1500,tcp6,rx,default,100,1,2.3203321773982486,0,0,0,0.04,0.48,0.00,1.34,186169
r8125_rust,1500,tcp6,rx,default,100,2,2.3208723521182617,0,0,0,0.04,0.45,0.00,1.59,200302
r8125_rust,1500,tcp6,rx,default,100,3,2.32054266232932,0,0,0,0.03,0.46,0.00,1.34,197652
r8125_rust,1500,udp,tx,default,100,1,2.3909400577358637,0,0.00042386633919964348,0.0034319628459498252,0.17,0.74,0.00,0.95,132338
r8125_rust,1500,udp,tx,default,100,2,2.3910441171305936,0,0,0.0017511711020752163,0.13,0.75,0.00,1.20,133160
r8125_rust,1500,udp,tx,default,100,3,2.39106033071652,0,0.0028460665543580546,0.00897484733892626,0.11,0.75,0.00,1.05,130904
r8125_rust,1500,udp,rx,default,100,1,2.390947428913242,0,0.01386685398021097,0.0042067080898275759,0.16,1.01,0.00,0.97,204868
r8125_rust,1500,udp,rx,default,100,2,2.390536826881272,0,0.02743263260014122,0.0037038290120743542,0.16,1.06,0.00,1.04,204794
r8125_rust,1500,udp,rx,default,100,3,2.3910750806642,0,0.0042383656861914049,0.0038519579065599,0.14,0.96,0.00,1.03,205459
r8125_rust,1500,tcp,tx,gro-off,100,1,2.356310215532923,0,0,0,0.00,0.27,0.00,1.03,127079
r8125_rust,1500,tcp,tx,gro-off,100,2,2.35575568292311,0,0,0,0.07,0.22,0.00,0.53,125799
r8125_rust,1500,tcp,tx,gro-off,100,3,2.355901454890399,0,0,0,0.01,0.23,0.00,1.18,126123
r8125_rust,1500,tcp,rx,gro-off,100,1,2.353328210770032,0,0,0,0.04,0.48,0.00,1.37,201464
r8125_rust,1500,tcp,rx,gro-off,100,2,2.35298285944258,0,0,0,0.04,0.44,0.00,1.36,195926
r8125_rust,1500,tcp,rx,gro-off,100,3,2.35297491911003,0,0,0,0.06,0.41,0.00,1.36,202637
r8125_rust,1500,tcp,tx,tso-off,100,1,2.35508218384728,0,0,0,0.01,0.19,0.00,0.97,137027
r8125_rust,1500,tcp,tx,tso-off,100,2,2.354957315493413,0,0,0,0.01,0.18,0.00,1.00,136214
r8125_rust,1500,tcp,tx,tso-off,100,3,2.355077109361935,0,0,0,0.00,0.20,0.00,0.79,136616
r8125_rust,1500,tcp,rx,tso-off,100,1,2.352925617388648,0,0,0,0.10,0.47,0.00,1.44,200443
r8125_rust,1500,tcp,rx,tso-off,100,2,2.3529731545989643,0,0,0,0.04,0.40,0.00,1.45,197618
r8125_rust,1500,tcp,rx,tso-off,100,3,2.3528406286061885,0,0,0,0.03,0.42,0.00,1.27,199229
r8125_rust,1500,tcp,tx,all-off,100,1,2.3545362120688735,0,0,0,0.01,0.16,0.00,0.63,137516
r8125_rust,1500,tcp,tx,all-off,100,2,2.35500529044453,0,0,0,0.02,0.19,0.00,1.03,140034
r8125_rust,1500,tcp,tx,all-off,100,3,2.3550188297414425,0,0,0,0.00,0.18,0.00,0.92,138752
r8125_rust,1500,tcp,rx,all-off,100,1,2.353178796653998,0,0,0,0.04,0.41,0.00,1.52,201258
r8125_rust,1500,tcp,rx,all-off,100,2,2.353228915825289,0,0,0,0.03,0.41,0.00,1.42,201907
r8125_rust,1500,tcp,rx,all-off,100,3,2.3531165625707726,0,0,0,0.10,0.47,0.00,1.53,200498
r8125_rust,1500,udp,tx,default,25,1,0.6249834290671411,0,0,0.025343350648313313,0.02,0.09,0.00,0.35,36726
r8125_rust,1500,udp,tx,default,25,2,0.624991151362716,0,0,0.021321128591580463,0.02,0.11,0.00,0.20,34282
r8125_rust,1500,udp,tx,default,25,3,0.624979481730953,0,0,0.036973747414429423,0.04,0.12,0.00,0.26,35258
r8125_rust,1500,udp,rx,default,25,1,0.6249968699084769,0,0,0.0040605827825595841,0.05,0.34,0.00,0.11,51196
r8125_rust,1500,udp,rx,default,25,2,0.6249959069628624,0,0,0.0046229087341666374,0.04,0.35,0.00,0.28,52150
r8125_rust,1500,udp,rx,default,25,3,0.6249960685818499,0,0,0.0046893251269698082,0.04,0.27,0.00,0.28,51705
r8125_rust,1500,udp,tx,default,50,1,1.249956078851699,0,0,0.030673253044080254,0.10,0.22,0.00,0.98,65310
r8125_rust,1500,udp,tx,default,50,2,1.24996005701142,0,0,0.012717596145381481,0.02,0.15,0.00,0.76,70065
r8125_rust,1500,udp,tx,default,50,3,1.2499786785670943,0,0,0.01144874400656689,0.02,0.08,0.00,0.61,73860
r8125_rust,1500,udp,rx,default,50,1,1.24999242666732,0,0,0.0058332681376664468,0.07,0.61,0.00,0.93,106549
r8125_rust,1500,udp,rx,default,50,2,1.2499953748368176,0,0.047025247693330524,0.0057893619865108919,0.10,0.62,0.00,0.81,105716
r8125_rust,1500,udp,rx,default,50,3,1.2499981142394918,0,0,0.0053176702089884958,0.07,0.57,0.00,0.90,106139
r8125_rust,1500,udp,tx,default,75,1,1.874956347262663,0,0,0.013458415450148295,0.06,0.28,0.00,0.75,108984
r8125_rust,1500,udp,tx,default,75,2,1.874947407993985,0,0,0.00739096304637639,0.11,0.55,0.00,0.45,105308
r8125_rust,1500,udp,tx,default,75,3,1.8749688617983635,0,0,0.00645436701801181,0.15,0.48,0.00,0.64,103218
r8125_rust,1500,udp,rx,default,75,1,1.8749881384175817,0,0.0034746968713057218,0.0063603928900002214,0.09,0.74,0.00,1.38,160376
r8125_rust,1500,udp,rx,default,75,2,1.8749853263645637,0,0.048105247796077,0.0065828823299084764,0.11,0.81,0.00,1.14,160727
r8125_rust,1500,udp,rx,default,75,3,1.8749939783094143,0,0.048574241751452786,0.0081816140301062962,0.13,0.69,0.00,1.02,161166
r8125_rust,9000,tcp,tx,default,100,1,2.4765788758805383,0,0,0,0.01,0.29,0.00,0.63,37810
r8125_rust,9000,tcp,tx,default,100,2,2.4766757593978688,0,0,0,0.03,0.32,0.00,0.43,37965
r8125_rust,9000,tcp,tx,default,100,3,2.477344120746507,0,0,0,0.00,0.11,0.00,0.20,37922
r8125_rust,9000,tcp,rx,default,100,1,2.47247514211177,0,0,0,0.01,0.22,0.00,0.66,53300
r8125_rust,9000,tcp,rx,default,100,2,2.472668705422015,0,0,0,0.02,0.23,0.00,0.72,53713
r8125_rust,9000,tcp,rx,default,100,3,2.4722872941462017,0,0,0,0.08,0.27,0.00,0.68,53244
r8125_rust,9000,tcp,bidir,default,100,1,4.9236584142492354,0,0,0,0.01,0.24,0.00,0.50,63028
r8125_rust,9000,tcp,bidir,default,100,2,4.923484346720291,0,0,0,0.02,0.42,0.00,0.56,62944
r8125_rust,9000,tcp,bidir,default,100,3,4.920651401416423,0,0,0,0.02,0.26,0.00,0.66,63204
r8125_rust,9000,tcp6,tx,default,100,1,2.4717478815439415,0,0,0,0.02,0.21,0.00,0.66,37789
r8125_rust,9000,tcp6,tx,default,100,2,2.4719006272537167,0,0,0,0.01,0.12,0.00,0.54,37947
r8125_rust,9000,tcp6,tx,default,100,3,2.4718549049563476,0,0,0,0.01,0.15,0.00,0.58,37928
r8125_rust,9000,tcp6,rx,default,100,1,2.467508083403835,0,0,0,0.08,0.22,0.00,0.68,53707
