driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8169,1500,tcp,tx,default,100,1,2.356961712722927,0,0,0,0.00,0.25,0.00,0.84,107141
r8169,1500,tcp,tx,default,100,2,2.3565729080573186,0,0,0,0.01,0.23,0.00,0.86,106674
r8169,1500,tcp,tx,default,100,3,2.356311393506476,0,0,0,0.01,0.23,0.00,0.83,106841
r8169,1500,tcp,rx,default,100,1,2.3535526787912726,0,0,0,0.00,0.17,0.00,0.01,2
r8169,1500,tcp,rx,default,100,2,2.353502377770926,0,0,0,0.00,0.18,0.00,0.01,3
r8169,1500,tcp,rx,default,100,3,2.3536387287380283,0,0,0,0.00,0.16,0.00,0.00,2
r8169,1500,tcp,bidir,default,100,1,4.703742639672518,0,0,0,0.01,0.30,0.00,0.04,74
r8169,1500,tcp,bidir,default,100,2,4.702207834964424,0,0,0,0.00,0.27,0.00,0.04,3
r8169,1500,tcp,bidir,default,100,3,4.702189616213007,0,0,0,0.01,0.28,0.00,0.03,2
r8169,1500,tcp6,tx,default,100,1,2.324959502523203,0,0,0,0.00,0.23,0.00,0.82,106400
r8169,1500,tcp6,tx,default,100,2,2.32469827397553,0,0,0,0.00,0.18,0.00,0.22,103632
r8169,1500,tcp6,tx,default,100,3,2.3240255409861637,0,0,0,0.01,0.26,0.00,0.80,105408
r8169,1500,tcp6,rx,default,100,1,2.32111966896229,0,0,0,0.00,0.12,0.00,0.00,2
r8169,1500,tcp6,rx,default,100,2,2.320862779721145,0,0,0,0.00,0.12,0.00,0.01,2
r8169,1500,tcp6,rx,default,100,3,2.32085465774915,0,0,0,0.00,0.15,0.00,0.01,4
r8169,1500,udp,tx,default,100,1,2.3909213084443173,0,0,0.0023942052664626661,0.11,0.49,0.00,0.48,122227
r8169,1500,udp,tx,default,100,2,2.3909973760202368,0,0,0.0047784855294098925,0.11,0.45,0.00,0.38,122728
r8169,1500,udp,tx,default,100,3,2.390951985062353,0,0,0.0032939020196475414,0.12,0.49,0.00,0.40,121702
r8169,1500,udp,rx,default,100,1,2.3909904051853568,0,0,0.004615336096095617,0.09,0.59,0.00,0.03,3
r8169,1500,udp,rx,default,100,2,2.390977621915622,0,0,0.0068406283341666662,0.08,0.74,0.00,0.06,3
r8169,1500,udp,rx,default,100,3,2.3910192629931935,0,0,0.005694880307108882,0.08,0.73,0.00,0.07,2
r8169,1500,tcp,tx,gro-off,100,1,2.3563007917869023,0,0,0,0.00,0.20,0.00,0.46,104848
r8169,1500,tcp,tx,gro-off,100,2,2.357336238189907,0,0,0,0.01,0.25,0.00,0.81,106474
r8169,1500,tcp,tx,gro-off,100,3,2.3568076179354223,0,0,0,0.01,0.23,0.00,0.84,106896
