driver,framesize,dir,pps,mbps,loss_pct
r8125_rust,64,tx,1105356,566,0
r8125_rust,64,rx,1983725,1016,0.655749686409544
r8125_rust,128,tx,1083333,1109,0
r8125_rust,128,rx,1560152,1598,0.014236509758897819
r8125_rust,256,tx,881039,1805,0
r8125_rust,256,rx,969513,1986,6.6440948579801642
r8125_rust,512,tx,540860,2216,0
r8125_rust,512,rx,541064,2216,0.00043116298207101134
r8125_rust,1024,tx,286848,2350,0
r8125_rust,1024,rx,286919,2350,0
r8125_rust,1448,tx,206589,2394,0
r8125_rust,1448,rx,206651,2394,0
