driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8169,1500,tcp,tx,default,100,1,0,0,0,0,0.00,0.03,0.00,0.00,0
r8169,1500,tcp,tx,default,100,2,2.3568220510745843,0,0,0,0.00,0.17,0.00,0.35,104448
r8169,1500,tcp,tx,default,100,3,2.3564118166751387,0,0,0,0.01,0.23,0.00,0.83,106608
r8169,1500,tcp,rx,default,100,1,2.353364096513244,0,0,0,0.00,0.21,0.00,0.02,4
r8169,1500,tcp,rx,default,100,2,2.353279678514037,0,0,0,0.01,0.16,0.00,0.02,6
r8169,1500,tcp,rx,default,100,3,2.3536366618379647,0,0,0,0.00,0.22,0.00,0.01,2
r8169,1500,tcp,bidir,default,100,1,4.702828421495337,0,0,0,0.01,0.31,0.00,0.03,65
r8169,1500,tcp,bidir,default,100,2,4.702789593507677,0,0,0,0.02,0.33,0.00,0.04,43
r8169,1500,tcp,bidir,default,100,3,4.703055519801803,0,0,0,0.07,0.41,0.00,0.07,25
r8169,1500,tcp6,tx,default,100,1,2.324502439149976,0,0,0,0.00,0.19,0.00,0.83,105974
r8169,1500,tcp6,tx,default,100,2,2.32351504771446,0,0,0,0.01,0.24,0.00,0.80,106116
r8169,1500,tcp6,tx,default,100,3,2.324434108151205,0,0,0,0.01,0.23,0.00,0.81,106293
r8169,1500,tcp6,rx,default,100,1,2.32118378347368,0,0,0,0.02,0.14,0.00,0.02,2
r8169,1500,tcp6,rx,default,100,2,2.320793164662895,0,0,0,0.01,0.12,0.00,0.01,4
r8169,1500,tcp6,rx,default,100,3,2.321007759572731,0,0,0,0.00,0.12,0.00,0.01,3
r8169,1500,udp,tx,default,100,1,2.3909044619868713,0,0,0.0036332045912521489,0.18,0.55,0.00,0.77,121090
r8169,1500,udp,tx,default,100,2,2.3908315037465147,0,0,0.010668060378249959,0.12,0.51,0.00,0.73,120763
r8169,1500,udp,tx,default,100,3,2.39084671023804,0,0,0.00214461993253394,0.11,0.54,0.00,0.84,119787
r8169,1500,udp,rx,default,100,1,2.391014661888688,0,0,0.00654468724412749,0.07,0.75,0.00,0.07,3
r8169,1500,udp,rx,default,100,2,2.391069677966373,0,0,0.016022980062746522,0.09,0.79,0.00,0.08,2
