driver,framesize,dir,pps,mbps,loss_pct
r8125_rust,64,tx,964404,494,29.07205529892769
r8125_rust,64,rx,349809,179,0.000514468865201726
r8125_rust,128,tx,503835,516,0
r8125_rust,128,rx,335461,343,0
r8125_rust,256,tx,537959,1102,0
r8125_rust,256,rx,430468,882,0.0049238750339097052
r8125_rust,512,tx,540638,2215,0.1023683782304472
r8125_rust,512,rx,325371,1333,0.078234037152871028
r8125_rust,1024,tx,286683,2349,0.029361713998772528
r8125_rust,1024,rx,286435,2346,0.028760244964688424
r8125_rust,1448,tx,206398,2391,0.023054866707997518
r8125_rust,1448,rx,206371,2391,0.0092052568799605439
