driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8125_rust,1500,tcp,tx,default,100,1,2.355906190657283,0,0,0,0.01,0.19,0.00,0.73,126071
r8125_rust,1500,tcp,tx,default,100,2,2.356207433914738,0,0,0,0.00,0.26,0.00,0.88,127056
r8125_rust,1500,tcp,tx,default,100,3,2.3555333257928024,0,0,0,0.07,0.25,0.00,0.99,126462
r8125_rust,1500,tcp,rx,default,100,1,2.3531503850657702,0,0,0,0.04,0.44,0.00,1.43,193263
r8125_rust,1500,tcp,rx,default,100,2,2.3532470306680775,0,0,0,0.04,0.47,0.00,1.45,197403
r8125_rust,1500,tcp,rx,default,100,3,2.3531136215302,0,0,0,0.05,0.46,0.00,1.40,203854
r8125_rust,1500,tcp,bidir,default,100,1,4.573582816451235,0,0,0,0.03,0.58,0.00,1.31,136404
r8125_rust,1500,tcp,bidir,default,100,2,4.581456171782749,0,0,0,0.04,0.57,0.00,1.37,139097
r8125_rust,1500,tcp,bidir,default,100,3,4.573871014787104,0,0,0,0.04,0.62,0.00,1.27,139148
r8125_rust,1500,tcp6,tx,default,100,1,2.3232954370803136,0,0,0,0.08,0.28,0.00,1.04,125163
r8125_rust,1500,tcp6,tx,default,100,2,2.323094971863142,0,0,0,0.01,0.19,0.00,0.82,126412
r8125_rust,1500,tcp6,tx,default,100,3,2.323779761362442,0,0,0,0.01,0.27,0.00,0.87,125746
r8125_rust,1500,tcp6,rx,default,100,1,2.3206076295653784,0,0,0,0.03,0.47,0.00,1.21,189138
r8125_rust,1500,tcp6,rx,default,100,2,2.320372198685946,0,0,0,0.62,0.60,0.00,1.62,199207
r8125_rust,1500,tcp6,rx,default,100,3,2.3207821948472844,0,0,0,0.27,0.49,0.00,1.64,203553
r8125_rust,1500,udp,tx,default,100,1,2.3909982467708737,0,0,0.0025213049598883388,0.12,0.76,0.00,1.27,133416
r8125_rust,1500,udp,tx,default,100,2,2.3909678678242168,0,0.019014043142500565,0.0025922378581641784,0.13,0.75,0.00,1.12,133347
r8125_rust,1500,udp,tx,default,100,3,2.391003708136916,0,0.015501406934336404,0.01125323288783317,0.21,0.77,0.00,1.15,132979
r8125_rust,1500,udp,rx,default,100,1,2.3905813481252047,0,0.00975009477576599,0.0036548612144460574,0.16,1.00,0.00,1.01,205570
r8125_rust,1500,udp,rx,default,100,2,2.391067638150847,0,0.025552295922228983,0.0042763787149797282,0.14,1.09,0.00,0.95,205526
r8125_rust,1500,udp,rx,default,100,3,2.3910273566350924,0,0.061215852180973675,0.0049884635343333469,0.17,0.95,0.00,1.12,204412
r8125_rust,1500,tcp,tx,gro-off,100,1,2.355783095875222,0,0,0,0.03,0.24,0.00,1.11,126585
r8125_rust,1500,tcp,tx,gro-off,100,2,2.355950649672664,0,0,0,0.01,0.21,0.00,0.57,125558
r8125_rust,1500,tcp,tx,gro-off,100,3,2.35602161091529,0,0,0,0.01,0.25,0.00,1.03,126893
r8125_rust,1500,tcp,rx,gro-off,100,1,2.3528935620748013,0,0,0,0.09,0.50,0.00,1.37,202808
r8125_rust,1500,tcp,rx,gro-off,100,2,2.352833570990324,0,0,0,0.03,0.41,0.00,1.23,197324
r8125_rust,1500,tcp,rx,gro-off,100,3,2.3532287953285955,0,0,0,0.02,0.42,0.00,1.35,199210
r8125_rust,1500,tcp,tx,tso-off,100,1,2.3563947356679678,0,0,0,0.01,0.20,0.00,1.11,130060
r8125_rust,1500,tcp,tx,tso-off,100,2,2.3554092339891133,0,0,0,0.02,0.18,0.00,0.85,126565
r8125_rust,1500,tcp,tx,tso-off,100,3,2.356345849491874,0,0,0,0.01,0.17,0.00,0.79,125761
r8125_rust,1500,tcp,rx,tso-off,100,1,2.3529616853415374,0,0,0,0.04,0.43,0.00,1.32,195365
r8125_rust,1500,tcp,rx,tso-off,100,2,2.3529616853415374,0,0,0,0.04,0.45,0.00,1.44,197313
r8125_rust,1500,tcp,rx,tso-off,100,3,2.3530968577393163,0,0,0,0.10,0.44,0.00,1.44,197418
r8125_rust,1500,tcp,tx,all-off,100,1,2.3560166237825064,0,0,0,0.00,0.15,0.00,0.74,129745
r8125_rust,1500,tcp,tx,all-off,100,2,2.3554529081432363,0,0,0,0.00,0.17,0.00,1.18,131813
r8125_rust,1500,tcp,tx,all-off,100,3,2.355921182549218,0,0,0,0.00,0.18,0.00,0.97,132859
r8125_rust,1500,tcp,rx,all-off,100,1,2.3529937407260757,0,0,0,0.05,0.46,0.00,1.50,206164
