driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8169,1500,tcp,tx,default,100,1,2.357066183414278,0,0,0,0.00,0.22,0.00,0.27,104086
r8169,1500,tcp,tx,default,100,2,2.3572311129858243,0,0,0,0.01,0.24,0.00,0.84,107570
r8169,1500,tcp,tx,default,100,3,2.3562851838733647,0,0,0,0.01,0.23,0.00,0.80,107211
r8169,1500,tcp,rx,default,100,1,2.35365975946841,0,0,0,0.01,0.20,0.00,0.01,2
r8169,1500,tcp,rx,default,100,2,2.353579448047107,0,0,0,0.01,0.15,0.00,0.01,2
r8169,1500,tcp,rx,default,100,3,2.353491494207362,0,0,0,0.07,0.15,0.00,0.01,2
r8169,1500,tcp,bidir,default,100,1,4.6922043653112695,0,0,0,0.02,0.29,0.00,0.05,3
r8169,1500,tcp,bidir,default,100,2,4.703464132502776,0,0,0,0.02,0.35,0.00,0.04,120
r8169,1500,tcp,bidir,default,100,3,4.694569564954892,0,0,0,0.01,0.29,0.00,0.02,3
r8169,1500,tcp6,tx,default,100,1,2.323889609483926,0,0,0,0.02,0.25,0.00,0.81,106203
r8169,1500,tcp6,tx,default,100,2,2.323675719506687,0,0,0,0.00,0.25,0.00,0.84,106813
r8169,1500,tcp6,tx,default,100,3,2.3241775126511213,0,0,0,0.01,0.23,0.00,0.82,106457
r8169,1500,tcp6,rx,default,100,1,2.320668783926853,0,0,0,0.00,0.15,0.00,0.02,7
r8169,1500,tcp6,rx,default,100,2,2.3211153174269787,0,0,0,0.07,0.12,0.00,0.01,2
r8169,1500,tcp6,rx,default,100,3,2.3211244536632156,0,0,0,0.01,0.22,0.00,0.00,2
r8169,1500,udp,tx,default,100,1,2.3909402732032614,0,0,0.00592623026320539,0.12,0.52,0.00,0.86,120954
r8169,1500,udp,tx,default,100,2,2.390972989498013,0,0,0.0020386056210274718,0.11,0.51,0.00,0.61,121574
r8169,1500,udp,tx,default,100,3,2.3909617535388596,0,0,0.0024911895088200789,0.12,0.51,0.00,0.72,120843
r8169,1500,udp,rx,default,100,1,2.3910367239892882,0,0,0.00863766902691188,0.09,0.72,0.00,0.06,3
r8169,1500,udp,rx,default,100,2,2.390979297388484,0,0,0.014058360987082725,0.09,0.58,0.00,0.03,3
r8169,1500,udp,rx,default,100,3,2.3910653176761247,0,0,0.0057259003869368635,0.16,0.65,0.00,0.04,3
r8169,1500,tcp,tx,gro-off,100,1,2.356523428703691,0,0,0,0.01,0.25,0.00,0.84,107081
r8169,1500,tcp,tx,gro-off,100,2,2.357146312967219,0,0,0,0.01,0.23,0.00,0.83,106917
r8169,1500,tcp,tx,gro-off,100,3,2.356792301328021,0,0,0,0.01,0.21,0.00,0.81,106547
r8169,1500,tcp,rx,gro-off,100,1,2.353421162981794,0,0,0,0.02,0.12,0.00,0.10,3
r8169,1500,tcp,rx,gro-off,100,2,2.353639317077036,0,0,0,0.00,0.17,0.00,0.08,2
r8169,1500,tcp,rx,gro-off,100,3,2.353508260820169,0,0,0,0.00,0.15,0.00,0.02,2
r8169,1500,tcp,tx,tso-off,100,1,2.35692393985136,0,0,0,0.01,0.18,0.00,1.23,100057
r8169,1500,tcp,tx,tso-off,100,2,2.3561771024605673,0,0,0,0.07,0.20,0.00,1.25,100701
r8169,1500,tcp,tx,tso-off,100,3,2.356980792220152,0,0,0,0.00,0.20,0.00,0.90,99431
r8169,1500,tcp,rx,tso-off,100,1,2.353666525882444,0,0,0,0.01,0.20,0.00,0.01,2
r8169,1500,tcp,rx,tso-off,100,2,2.353641670436009,0,0,0,0.01,0.19,0.00,0.01,2
r8169,1500,tcp,rx,tso-off,100,3,2.353642258776488,0,0,0,0.02,0.18,0.00,0.01,2
r8169,1500,tcp,tx,all-off,100,1,2.35688037453939,0,0,0,0.00,0.14,0.00,0.26,99530
r8169,1500,tcp,tx,all-off,100,2,2.35656849017341,0,0,0,0.00,0.18,0.00,1.23,101008
r8169,1500,tcp,tx,all-off,100,3,2.3565464118946915,0,0,0,0.04,0.18,0.00,0.96,99866
r8169,1500,tcp,rx,all-off,100,1,2.353623137861492,0,0,0,0.04,0.18,0.00,0.08,2
r8169,1500,tcp,rx,all-off,100,2,2.353430901072136,0,0,0,0.00,0.18,0.00,0.03,3
r8169,1500,tcp,rx,all-off,100,3,2.3535212036320337,0,0,0,0.01,0.16,0.00,0.02,2
r8169,1500,udp,tx,default,25,1,0.6249826733737477,0,0,0.022220321354457156,0.03,0.13,0.00,0.04,26972
r8169,1500,udp,tx,default,25,2,0.6249841792975449,0,0,0.029363471034395922,0.01,0.07,0.00,0.04,27026
r8169,1500,udp,tx,default,25,3,0.6249901467212042,0,0,0.023193109016643908,0.02,0.09,0.00,0.06,27296
r8169,1500,udp,rx,default,25,1,0.624996922437014,0,0,0.009271850820668703,0.02,0.19,0.00,0.20,27206
r8169,1500,udp,rx,default,25,2,0.6249971769789362,0,0,0.0081259704616785371,0.10,0.19,0.00,0.26,28856
r8169,1500,udp,rx,default,25,3,0.6249975783245045,0,0,0.01073704513973704,0.02,0.22,0.00,0.20,26634
r8169,1500,udp,tx,default,50,1,1.2499803970630838,0,0,0.00910995280622814,0.02,0.12,0.00,0.97,56718
r8169,1500,udp,tx,default,50,2,1.2499813746186372,0,0,0.010486309694501367,0.03,0.12,0.00,0.61,57460
r8169,1500,udp,tx,default,50,3,1.2499635755807885,0,0,0.011318328030210979,0.04,0.12,0.00,0.90,56665
r8169,1500,udp,rx,default,50,1,1.249996420136035,0,0,0.010584393655173014,0.02,0.14,0.00,0.19,10766
r8169,1500,udp,rx,default,50,2,1.2499969384378036,0,0,0.010367689388760903,0.02,0.07,0.00,0.14,10746
r8169,1500,udp,rx,default,50,3,1.2499976967665993,0,0,0.00962556371661876,0.04,0.18,0.00,0.14,10707
r8169,1500,udp,tx,default,75,1,1.874945611263051,0,0,0.011682074139207228,0.13,0.83,0.00,1.13,84451
r8169,1500,udp,tx,default,75,2,1.8749713030060429,0,0,0.00920017663432621,0.07,0.81,0.00,1.31,84337
r8169,1500,udp,tx,default,75,3,1.8749524234948631,0,0,0.00899851656680227,0.06,0.65,0.00,0.89,83922
r8169,1500,udp,rx,default,75,1,1.8749974797199636,0,0,0.0065050274636251635,0.02,0.09,0.00,0.08,1010
r8169,1500,udp,rx,default,75,2,1.874989681763984,0,0,0.00754036038466131,0.01,0.04,0.00,0.06,1105
r8169,1500,udp,rx,default,75,3,1.874991039341631,0,0,0.00835532333637389,0.00,0.02,0.00,0.04,1098
r8169,9000,tcp,tx,default,100,1,2.47687131198619,0,0,0,0.00,0.07,0.00,0.42,34569
r8169,9000,tcp,tx,default,100,2,2.4772711913151824,0,0,0,0.01,0.27,0.00,0.38,34888
r8169,9000,tcp,tx,default,100,3,2.4768567627405775,0,0,0,0.02,0.40,0.00,0.36,34764
r8169,9000,tcp,rx,default,100,1,2.474461124359455,0,0,0,0.08,0.23,0.00,0.18,37776
r8169,9000,tcp,rx,default,100,2,2.4748911006175445,0,0,0,0.01,0.21,0.00,0.18,37620
r8169,9000,tcp,rx,default,100,3,2.474879346235101,0,0,0,0.01,0.19,0.00,0.19,37586
r8169,9000,tcp,bidir,default,100,1,4.926790847428684,0,0,0,0.02,0.51,0.00,0.44,28195
r8169,9000,tcp,bidir,default,100,2,4.913614526063366,0,0,0,0.03,0.67,0.00,0.54,28010
r8169,9000,tcp,bidir,default,100,3,4.92664719905943,0,0,0,0.02,0.59,0.00,0.46,28635
r8169,9000,tcp6,tx,default,100,1,2.4712577222282492,0,0,0,0.01,0.28,0.00,0.39,35229
r8169,9000,tcp6,tx,default,100,2,2.470958558275722,0,0,0,0.07,0.10,0.00,0.32,35207
r8169,9000,tcp6,tx,default,100,3,2.4720238457928065,0,0,0,0.00,0.17,0.00,0.42,34738
r8169,9000,tcp6,rx,default,100,1,2.46952391348881,0,0,0,0.01,0.18,0.00,0.18,37162
r8169,9000,tcp6,rx,default,100,2,2.4694994614436263,0,0,0,0.00,0.20,0.00,0.19,37275
r8169,9000,tcp6,rx,default,100,3,2.4679462833886836,0,0,0,0.02,0.20,0.00,0.18,37184
r8169,9000,udp,tx,default,100,1,2.391069709682036,0,0,0.0057408305038284839,0.12,0.53,0.00,1.07,119712
r8169,9000,udp,tx,default,100,2,2.390999395718437,0,0,0.0046451352955982038,0.12,0.50,0.00,0.82,119710
r8169,9000,udp,tx,default,100,3,2.3909762569453616,0,0,0.0030899870194837473,0.11,0.51,0.00,0.91,119306
r8169,9000,udp,rx,default,100,1,2.3909702072783325,0,0,0.0050760196846694021,0.14,0.75,0.00,0.08,2
r8169,9000,udp,rx,default,100,2,2.3910830882159035,0,0,0.010433759531558928,0.08,0.57,0.00,0.02,2
r8169,9000,udp,rx,default,100,3,2.3910671514322566,0,0,0.0092889937244265437,0.07,0.56,0.00,0.02,2
r8169,9000,tcp,tx,gro-off,100,1,2.4774524133098668,0,0,0,0.00,0.14,0.00,0.40,34818
r8169,9000,tcp,tx,gro-off,100,2,2.4768756458370724,0,0,0,0.02,0.60,0.00,0.43,34710
r8169,9000,tcp,tx,gro-off,100,3,2.4773542561350075,0,0,0,0.01,0.42,0.00,0.41,34876
r8169,9000,tcp,rx,gro-off,100,1,2.463030964273377,0,0,0,0.01,0.23,0.00,0.43,46638
r8169,9000,tcp,rx,gro-off,100,2,2.4745969008923248,0,0,0,0.02,0.24,0.00,0.47,45791
r8169,9000,tcp,rx,gro-off,100,3,2.47458723142161,0,0,0,0.09,0.29,0.00,0.48,45354
