driver,test,proto,dir,size,flows,metric,median,min,max,n,extra
rust4,tcp_tx,tcp,tx,1500,1,gbps,2.36,2.36,2.36,5,
rust4,tcp_tx,tcp,tx,1500,1,retr,0.00,0.00,0.00,5,spikes=0/5
rust4,tcp_rx,tcp,rx,1500,1,gbps,2.35,2.35,2.35,5,
rust4,tcp_rx,tcp,rx,1500,1,retr,0.00,0.00,0.00,5,spikes=0/5
rust4,tcp_tx,tcp,tx,1500,10,gbps,2.36,2.36,2.36,5,
rust4,tcp_tx,tcp,tx,1500,10,retr,0.00,0.00,0.00,5,spikes=0/5
rust4,tcp_rx,tcp,rx,1500,10,gbps,2.35,2.35,2.35,12,
rust4,tcp_rx,tcp,rx,1500,10,retr,0.00,0.00,5059.00,12,spikes=5/12
rust4,udp_rx,udp,rx,1448,1,gbps,2.39,2.39,2.39,5,loss_med=0.00
rust4,udp_rx,udp,rx,1448,10,gbps,2.39,2.39,2.39,5,loss_med=0.00
rust4,udp_rx,udp,rx,64,10,gbps,1.00,0.98,1.02,5,loss_med=0.18
rust4,latency,icmp,under_load,,1,avg_rtt_ms,0.61,0.49,0.88,5,
rust4,spread,tcp,rx,,16,active_vectors,5,5,5,1,
rust4,stress,tcp,tx,1500,16,worst_gbps,2.3592414874217527,2.3592414874217527,2.3592414874217527,6,total_retr=0;dmesg_faults=+0
rust4,tcp_tx,tcp,tx,1500,1,gbps,2.48,2.48,2.48,5,
rust4,tcp_tx,tcp,tx,1500,1,retr,0.00,0.00,0.00,5,spikes=0/5
rust4,tcp_rx,tcp,rx,1500,1,gbps,2.47,2.44,2.47,5,
rust4,tcp_rx,tcp,rx,1500,1,retr,0.00,0.00,0.00,5,spikes=0/5
rust0,tcp_tx,tcp,tx,1500,1,gbps,2.36,2.36,2.36,5,
rust0,tcp_tx,tcp,tx,1500,1,retr,0.00,0.00,0.00,5,spikes=0/5
rust0,tcp_rx,tcp,rx,1500,1,gbps,2.35,2.35,2.35,5,
rust0,tcp_rx,tcp,rx,1500,1,retr,0.00,0.00,0.00,5,spikes=0/5
rust0,tcp_tx,tcp,tx,1500,10,gbps,2.36,2.36,2.36,5,
rust0,tcp_tx,tcp,tx,1500,10,retr,0.00,0.00,0.00,5,spikes=0/5
rust0,tcp_rx,tcp,rx,1500,10,gbps,2.35,2.35,2.35,12,
rust0,tcp_rx,tcp,rx,1500,10,retr,0.00,0.00,4651.00,12,spikes=2/12
rust0,udp_rx,udp,rx,1448,1,gbps,2.39,2.39,2.39,5,loss_med=0.00
rust0,udp_rx,udp,rx,1448,10,gbps,2.39,2.39,2.39,5,loss_med=0.00
rust0,udp_rx,udp,rx,64,10,gbps,0.95,0.89,0.99,5,loss_med=0.01
