Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/26 	_x86_64_	(32 CPU)

17:23:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:55     all    1.26    0.00    5.28    0.00    0.00    4.81    0.00    0.00    0.00   88.65
17:23:55       0    2.02    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   86.87
17:23:55       1    1.02    0.00    9.18    0.00    0.00    1.02    0.00    0.00    0.00   88.78
17:23:55       2    3.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
17:23:55       3    2.04    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   88.78
17:23:55       4    2.02    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   85.86
17:23:55       5    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
17:23:55       6    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
17:23:55       7    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:23:55       8    0.00    0.00    0.00    0.00    0.00   87.23    0.00    0.00    0.00   12.77
17:23:55       9    1.03    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   93.81
17:23:55      10    0.00    0.00    1.11    0.00    0.00    8.89    0.00    0.00    0.00   90.00
17:23:55      11    3.23    0.00   11.83    0.00    0.00    1.08    0.00    0.00    0.00   83.87
17:23:55      12    1.11    0.00    4.44    0.00    0.00    0.00    0.00    0.00    0.00   94.44
17:23:55      13    0.00    0.00    1.09    0.00    0.00    3.26    0.00    0.00    0.00   95.65
17:23:55      14    0.00    0.00    0.00    0.00    0.00    7.78    0.00    0.00    0.00   92.22
17:23:55      15    0.00    0.00    1.05    0.00    0.00    2.11    0.00    0.00    0.00   96.84
17:23:55      16    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
17:23:55      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:55      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:55      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:55      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:55      21    3.09    0.00   10.31    0.00    0.00   19.59    0.00    0.00    0.00   67.01
17:23:55      22    0.00    0.00    1.16    0.00    0.00   19.77    0.00    0.00    0.00   79.07
17:23:55      23    1.06    0.00    7.45    0.00    0.00   18.09    0.00    0.00    0.00   73.40
17:23:55      24    2.30    0.00   11.49    0.00    0.00   29.89    0.00    0.00    0.00   56.32
17:23:55      25    4.30    0.00   12.90    0.00    0.00    1.08    0.00    0.00    0.00   81.72
17:23:55      26    1.08    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   94.62
17:23:55      27    3.16    0.00    9.47    0.00    0.00    1.05    0.00    0.00    0.00   86.32
17:23:55      28    2.08    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   91.67
17:23:55      29    3.19    0.00    8.51    0.00    0.00    1.06    0.00    0.00    0.00   87.23
17:23:55      30    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91
17:23:55      31    1.04    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   95.83

17:23:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:56     all    0.95    0.00    6.99    0.00    0.00    2.35    0.00    0.00    0.00   89.71
17:23:56       0    2.00    0.00   52.00    0.00    0.00    1.00    0.00    0.00    0.00   45.00
17:23:56       1    1.02    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   82.65
17:23:56       2    1.03    0.00   24.74    0.00    0.00    1.03    0.00    0.00    0.00   73.20
17:23:56       3    3.06    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   85.71
17:23:56       4    2.06    0.00   45.36    0.00    0.00    1.03    0.00    0.00    0.00   51.55
17:23:56       5    1.02    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   89.80
17:23:56       6    1.01    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   91.92
17:23:56       7    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
17:23:56       8    0.00    0.00    0.00    0.00    0.00   30.26    0.00    0.00    0.00   69.74
17:23:56       9    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
17:23:56      10    0.00    0.00    0.00    0.00    0.00    3.12    0.00    0.00    0.00   96.88
17:23:56      11    2.06    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   91.75
17:23:56      12    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
17:23:56      13    1.03    0.00    1.03    0.00    0.00    2.06    0.00    0.00    0.00   95.88
17:23:56      14    0.00    0.00    0.00    0.00    0.00    5.15    0.00    0.00    0.00   94.85
17:23:56      15    1.02    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   97.96
17:23:56      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:56      17    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:23:56      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:56      19    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:23:56      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:56      21    2.06    0.00   11.34    0.00    0.00   10.31    0.00    0.00    0.00   76.29
17:23:56      22    0.00    0.00    0.00    0.00    0.00    3.12    0.00    0.00    0.00   96.88
