label,mode,irq_vector,irq_count,desc
rust_rssq1,before,29,3,PCI-MSI-0000:00:00.2_0-edge_AMD-Vi_
rust_rssq1,before,30,1,IR-PCI-MSI-0000:00:01.2_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,before,31,1,IR-PCI-MSI-0000:00:02.1_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,before,32,1,IR-PCI-MSI-0000:00:02.2_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,before,33,1,IR-PCI-MSI-0000:00:03.1_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,before,34,1,IR-PCI-MSI-0000:00:03.2_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,before,35,1,IR-PCI-MSI-0000:00:08.1_0-edge_PCIe_PME,_PCIe_bwctrl_
rust_rssq1,before,36,1,IR-PCI-MSI-0000:00:08.3_0-edge_PCIe_PME,_PCIe_bwctrl_
rust_rssq1,before,38,169,IR-PCI-MSIX-0000:01:00.3_0-edge_xhci_hcd_
rust_rssq1,before,47,119,IR-PCI-MSIX-0000:01:00.4_0-edge_xhci_hcd_
rust_rssq1,before,56,238,IR-PCI-MSIX-0000:02:00.0_0-edge_xhci_hcd_
rust_rssq1,before,70,2811,IR-PCI-MSIX-0000:07:00.0_0-edge_nvme0q0_
rust_rssq1,before,71,4,IR-PCI-MSIX-0000:04:00.0_0-edge_enp4s0_
rust_rssq1,before,72,26115,IR-PCI-MSIX-0000:04:00.0_1-edge_enp4s0-TxRx-0_
rust_rssq1,before,73,113,IR-PCI-MSIX-0000:04:00.0_2-edge_enp4s0-TxRx-1_
rust_rssq1,before,74,154662,IR-PCI-MSIX-0000:04:00.0_3-edge_enp4s0-TxRx-2_
rust_rssq1,before,75,229896,IR-PCI-MSIX-0000:04:00.0_4-edge_enp4s0-TxRx-3_
rust_rssq1,before,76,10866,IR-PCI-MSIX-0000:07:00.0_1-edge_nvme0q1_
rust_rssq1,before,77,7036,IR-PCI-MSIX-0000:07:00.0_2-edge_nvme0q2_
rust_rssq1,before,78,20205,IR-PCI-MSIX-0000:07:00.0_3-edge_nvme0q3_
rust_rssq1,before,79,4856,IR-PCI-MSIX-0000:07:00.0_4-edge_nvme0q4_
rust_rssq1,before,80,3460,IR-PCI-MSIX-0000:07:00.0_5-edge_nvme0q5_
rust_rssq1,before,81,1838,IR-PCI-MSIX-0000:07:00.0_6-edge_nvme0q6_
rust_rssq1,before,82,7559,IR-PCI-MSIX-0000:07:00.0_7-edge_nvme0q7_
rust_rssq1,before,83,4890,IR-PCI-MSIX-0000:07:00.0_8-edge_nvme0q8_
rust_rssq1,before,84,2477,IR-PCI-MSIX-0000:07:00.0_9-edge_nvme0q9_
rust_rssq1,before,85,6999,IR-PCI-MSIX-0000:07:00.0_10-edge_nvme0q10_
rust_rssq1,before,86,2062,IR-PCI-MSIX-0000:07:00.0_11-edge_nvme0q11_
rust_rssq1,before,87,2716,IR-PCI-MSIX-0000:07:00.0_12-edge_nvme0q12_
rust_rssq1,before,88,1678,IR-PCI-MSIX-0000:07:00.0_13-edge_nvme0q13_
rust_rssq1,before,89,1417,IR-PCI-MSIX-0000:07:00.0_14-edge_nvme0q14_
rust_rssq1,before,90,15065,IR-PCI-MSIX-0000:07:00.0_15-edge_nvme0q15_
rust_rssq1,before,91,20882,IR-PCI-MSIX-0000:07:00.0_16-edge_nvme0q16_
rust_rssq1,before,177,86,IR-PCI-MSI-0000:01:00.1_0-edge_snd_hda_intel:card0_
rust_rssq1,before,178,219,IR-PCI-MSI-0000:01:00.6_0-edge_snd_hda_intel:card1_
rust_rssq1,before,180,3743532,IR-PCI-MSI-0000:06:00.0_0-edge_mt7921e_
rust_rssq1,before,181,475830,IR-PCI-MSIX-0000:01:00.0_0-edge_amdgpu_
rust_rssq1,before,197,3,IR-PCI-MSIX-0000:03:00.0_16-edge_r8125_rust_
rust_rssq1,before,202,1,IR-PCI-MSIX-0000:03:00.0_21-edge_r8125_rust_
rust_rssq1,after_hw_vlan_on,29,3,PCI-MSI-0000:00:00.2_0-edge_AMD-Vi_
rust_rssq1,after_hw_vlan_on,30,1,IR-PCI-MSI-0000:00:01.2_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,after_hw_vlan_on,31,1,IR-PCI-MSI-0000:00:02.1_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,after_hw_vlan_on,32,1,IR-PCI-MSI-0000:00:02.2_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,after_hw_vlan_on,33,1,IR-PCI-MSI-0000:00:03.1_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,after_hw_vlan_on,34,1,IR-PCI-MSI-0000:00:03.2_0-edge_PCIe_PME,_aerdrv,_PCIe_bwctrl_
rust_rssq1,after_hw_vlan_on,35,1,IR-PCI-MSI-0000:00:08.1_0-edge_PCIe_PME,_PCIe_bwctrl_
rust_rssq1,after_hw_vlan_on,36,1,IR-PCI-MSI-0000:00:08.3_0-edge_PCIe_PME,_PCIe_bwctrl_
rust_rssq1,after_hw_vlan_on,38,169,IR-PCI-MSIX-0000:01:00.3_0-edge_xhci_hcd_
rust_rssq1,after_hw_vlan_on,47,119,IR-PCI-MSIX-0000:01:00.4_0-edge_xhci_hcd_
rust_rssq1,after_hw_vlan_on,56,238,IR-PCI-MSIX-0000:02:00.0_0-edge_xhci_hcd_
rust_rssq1,after_hw_vlan_on,68,459485,IR-PCI-MSIX-0000:03:00.0_0-edge_r8125_rust_
rust_rssq1,after_hw_vlan_on,70,2811,IR-PCI-MSIX-0000:07:00.0_0-edge_nvme0q0_
rust_rssq1,after_hw_vlan_on,71,4,IR-PCI-MSIX-0000:04:00.0_0-edge_enp4s0_
rust_rssq1,after_hw_vlan_on,72,128104,IR-PCI-MSIX-0000:04:00.0_1-edge_enp4s0-TxRx-0_
rust_rssq1,after_hw_vlan_on,73,190,IR-PCI-MSIX-0000:04:00.0_2-edge_enp4s0-TxRx-1_
rust_rssq1,after_hw_vlan_on,74,309281,IR-PCI-MSIX-0000:04:00.0_3-edge_enp4s0-TxRx-2_
rust_rssq1,after_hw_vlan_on,75,426516,IR-PCI-MSIX-0000:04:00.0_4-edge_enp4s0-TxRx-3_
rust_rssq1,after_hw_vlan_on,76,10866,IR-PCI-MSIX-0000:07:00.0_1-edge_nvme0q1_
rust_rssq1,after_hw_vlan_on,77,7240,IR-PCI-MSIX-0000:07:00.0_2-edge_nvme0q2_
rust_rssq1,after_hw_vlan_on,78,20206,IR-PCI-MSIX-0000:07:00.0_3-edge_nvme0q3_
rust_rssq1,after_hw_vlan_on,79,4856,IR-PCI-MSIX-0000:07:00.0_4-edge_nvme0q4_
rust_rssq1,after_hw_vlan_on,80,3460,IR-PCI-MSIX-0000:07:00.0_5-edge_nvme0q5_
rust_rssq1,after_hw_vlan_on,81,1840,IR-PCI-MSIX-0000:07:00.0_6-edge_nvme0q6_
rust_rssq1,after_hw_vlan_on,82,7559,IR-PCI-MSIX-0000:07:00.0_7-edge_nvme0q7_
rust_rssq1,after_hw_vlan_on,83,4890,IR-PCI-MSIX-0000:07:00.0_8-edge_nvme0q8_
rust_rssq1,after_hw_vlan_on,84,2477,IR-PCI-MSIX-0000:07:00.0_9-edge_nvme0q9_
rust_rssq1,after_hw_vlan_on,85,7014,IR-PCI-MSIX-0000:07:00.0_10-edge_nvme0q10_
rust_rssq1,after_hw_vlan_on,86,2062,IR-PCI-MSIX-0000:07:00.0_11-edge_nvme0q11_
rust_rssq1,after_hw_vlan_on,87,2716,IR-PCI-MSIX-0000:07:00.0_12-edge_nvme0q12_
rust_rssq1,after_hw_vlan_on,88,1680,IR-PCI-MSIX-0000:07:00.0_13-edge_nvme0q13_
rust_rssq1,after_hw_vlan_on,89,1417,IR-PCI-MSIX-0000:07:00.0_14-edge_nvme0q14_
rust_rssq1,after_hw_vlan_on,90,15065,IR-PCI-MSIX-0000:07:00.0_15-edge_nvme0q15_
rust_rssq1,after_hw_vlan_on,91,20884,IR-PCI-MSIX-0000:07:00.0_16-edge_nvme0q16_
rust_rssq1,after_hw_vlan_on,177,86,IR-PCI-MSI-0000:01:00.1_0-edge_snd_hda_intel:card0_
rust_rssq1,after_hw_vlan_on,178,219,IR-PCI-MSI-0000:01:00.6_0-edge_snd_hda_intel:card1_
rust_rssq1,after_hw_vlan_on,180,3744205,IR-PCI-MSI-0000:06:00.0_0-edge_mt7921e_
rust_rssq1,after_hw_vlan_on,181,475830,IR-PCI-MSIX-0000:01:00.0_0-edge_amdgpu_
rust_rssq1,after_hw_vlan_on,197,3045246,IR-PCI-MSIX-0000:03:00.0_16-edge_r8125_rust_
rust_rssq1,after_hw_vlan_on,202,1,IR-PCI-MSIX-0000:03:00.0_21-edge_r8125_rust_
