Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/2026 	_x86_64_	(32 CPU)

04:46:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:46:19 PM  all    1.05    0.00    5.79    0.00    0.00    5.88    0.00    0.00    0.00   87.28
04:46:19 PM    0    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:46:19 PM    1    1.01    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   89.90
04:46:19 PM    2    1.02    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   88.78
04:46:19 PM    3    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:46:19 PM    4    1.01    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   92.93
04:46:19 PM    5    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
04:46:19 PM    6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:46:19 PM    7    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:46:19 PM    8    1.98    0.00    0.00    0.00    0.00   98.02    0.00    0.00    0.00    0.00
04:46:19 PM    9    2.44    0.00   12.20    0.00    0.00    0.00    0.00    0.00    0.00   85.37
04:46:19 PM   10    2.41    0.00   12.05    0.00    0.00    0.00    0.00    0.00    0.00   85.54
04:46:19 PM   11    2.44    0.00    9.76    0.00    0.00    0.00    0.00    0.00    0.00   87.80
04:46:19 PM   12    1.19    0.00   11.90    0.00    0.00    0.00    0.00    0.00    0.00   86.90
04:46:19 PM   13    2.38    0.00   11.90    0.00    0.00    0.00    0.00    0.00    0.00   85.71
04:46:19 PM   14    1.15    0.00   10.34    0.00    0.00    0.00    0.00    0.00    0.00   88.51
04:46:19 PM   15    1.22    0.00    9.76    0.00    0.00    0.00    0.00    0.00    0.00   89.02
04:46:19 PM   16    5.00    0.00   29.00    0.00    0.00    3.00    0.00    0.00    0.00   63.00
04:46:19 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:46:19 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:46:19 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:46:19 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:46:19 PM   21    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:46:19 PM   22    1.01    0.00    3.03    0.00    0.00   18.18    0.00    0.00    0.00   77.78
04:46:19 PM   23    0.00    0.00    5.21    0.00    0.00   17.71    0.00    0.00    0.00   77.08
04:46:19 PM   24    0.00    0.00    0.00    0.00    0.00   22.35    0.00    0.00    0.00   77.65
04:46:19 PM   25    4.04    0.00   12.12    0.00    0.00   23.23    0.00    0.00    0.00   60.61
04:46:19 PM   26    0.99    0.00    8.91    0.00    0.00    0.99    0.00    0.00    0.00   89.11
04:46:19 PM   27    2.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
04:46:19 PM   28    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
04:46:19 PM   29    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
04:46:19 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:46:19 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:46:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:46:20 PM  all    1.17    0.00    5.90    0.00    0.00    6.10    0.00    0.00    0.00   86.84
04:46:20 PM    0    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:46:20 PM    1    1.01    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   89.90
04:46:20 PM    2    1.03    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:46:20 PM    3    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:46:20 PM    4    0.99    0.00   12.87    0.00    0.00    0.99    0.00    0.00    0.00   85.15
04:46:20 PM    5    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
