Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/2026 	_x86_64_	(32 CPU)

04:47:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:47:17 PM  all    0.53    0.00    4.32    0.00    0.00    2.90    0.00    0.00    0.00   92.25
04:47:17 PM    0    1.03    0.00    9.28    0.00    0.00    2.06    0.00    0.00    0.00   87.63
04:47:17 PM    1    0.00    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   91.49
04:47:17 PM    2    1.04    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   91.67
04:47:17 PM    3    1.05    0.00    8.42    0.00    0.00    1.05    0.00    0.00    0.00   89.47
04:47:17 PM    4    1.06    0.00    6.38    0.00    0.00    0.00    0.00    0.00    0.00   92.55
04:47:17 PM    5    1.05    0.00   10.53    0.00    0.00    0.00    0.00    0.00    0.00   88.42
04:47:17 PM    6    1.08    0.00    5.38    0.00    0.00    0.00    0.00    0.00    0.00   93.55
04:47:17 PM    7    0.00    0.00    5.38    0.00    0.00    0.00    0.00    0.00    0.00   94.62
04:47:17 PM    8    0.00    0.00    0.00    0.00    0.00   92.59    0.00    0.00    0.00    7.41
04:47:17 PM    9    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
04:47:17 PM   10    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:47:17 PM   11    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:47:17 PM   12    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:47:17 PM   13    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:47:17 PM   14    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:47:17 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:47:17 PM   16    1.09    0.00    8.70    0.00    0.00    1.09    0.00    0.00    0.00   89.13
04:47:17 PM   17    1.09    0.00    6.52    0.00    0.00    0.00    0.00    0.00    0.00   92.39
04:47:17 PM   18    1.09    0.00    7.61    0.00    0.00    0.00    0.00    0.00    0.00   91.30
04:47:17 PM   19    1.04    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   90.62
04:47:17 PM   20    1.03    0.00   14.43    0.00    0.00    1.03    0.00    0.00    0.00   83.51
04:47:17 PM   21    1.05    0.00    6.32    0.00    0.00    1.05    0.00    0.00    0.00   91.58
04:47:17 PM   22    1.06    0.00    5.32    0.00    0.00   12.77    0.00    0.00    0.00   80.85
04:47:17 PM   23    0.00    0.00    5.32    0.00    0.00   11.70    0.00    0.00    0.00   82.98
04:47:17 PM   24    0.00    0.00    2.56    0.00    0.00   11.54    0.00    0.00    0.00   85.90
04:47:17 PM   25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:47:17 PM   26    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:47:17 PM   27    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:47:17 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:47:17 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:47:17 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:47:17 PM   31    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01

04:47:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:47:18 PM  all    0.58    0.00    4.83    0.00    0.00    2.46    0.00    0.00    0.00   92.13
04:47:18 PM    0    2.04    0.00   22.45    0.00    0.00    1.02    0.00    0.00    0.00   74.49
04:47:18 PM    1    2.06    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   84.54
04:47:18 PM    2    1.04    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   90.62
04:47:18 PM    3    1.02    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   91.84
04:47:18 PM    4    0.00    0.00    8.25    0.00    0.00    1.03    0.00    0.00    0.00   90.72
04:47:18 PM    5    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
04:47:18 PM    6    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:47:18 PM    7    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:47:18 PM    8    0.00    0.00    1.11    0.00    0.00   22.22    0.00    0.00    0.00   76.67
04:47:18 PM    9    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
