Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/2026 	_x86_64_	(32 CPU)

04:48:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:48:50 PM  all    0.90    0.00    5.76    0.00    0.00    3.43    0.00    0.00    0.00   89.92
04:48:50 PM    0    2.06    0.00   10.31    0.00    0.00    2.06    0.00    0.00    0.00   85.57
04:48:50 PM    1    0.00    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   93.68
04:48:50 PM    2    1.04    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   94.79
04:48:50 PM    3    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
04:48:50 PM    4    1.03    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   87.63
04:48:50 PM    5    0.00    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   96.91
04:48:50 PM    6    0.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   97.00
04:48:50 PM    7    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:48:50 PM    8    0.00    0.00    0.00    0.00    0.00   93.33    0.00    0.00    0.00    6.67
04:48:50 PM    9    1.09    0.00    8.70    0.00    0.00    0.00    0.00    0.00    0.00   90.22
04:48:50 PM   10    1.09    0.00    5.43    0.00    0.00    0.00    0.00    0.00    0.00   93.48
04:48:50 PM   11    1.06    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00   91.49
04:48:50 PM   12    1.06    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00   91.49
04:48:50 PM   13    1.05    0.00    6.32    0.00    0.00    1.05    0.00    0.00    0.00   91.58
04:48:50 PM   14    1.04    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   93.75
04:48:50 PM   15    1.08    0.00    6.45    0.00    0.00    0.00    0.00    0.00    0.00   92.47
04:48:50 PM   16    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:48:50 PM   17    1.03    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   94.85
04:48:50 PM   18    1.02    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   93.88
04:48:50 PM   19    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
04:48:50 PM   20    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
04:48:50 PM   21    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
04:48:50 PM   22    0.00    0.00    4.35    0.00    0.00   10.87    0.00    0.00    0.00   84.78
04:48:50 PM   23    1.04    0.00    7.29    0.00    0.00   13.54    0.00    0.00    0.00   78.12
04:48:50 PM   24    1.16    0.00    6.98    0.00    0.00   24.42    0.00    0.00    0.00   67.44
04:48:50 PM   25    2.22    0.00   10.00    0.00    0.00   13.33    0.00    0.00    0.00   74.44
04:48:50 PM   26    2.06    0.00    9.28    0.00    0.00    1.03    0.00    0.00    0.00   87.63
04:48:50 PM   27    2.06    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   88.66
04:48:50 PM   28    1.05    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   92.63
04:48:50 PM   29    1.08    0.00    7.53    0.00    0.00    0.00    0.00    0.00    0.00   91.40
04:48:50 PM   30    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
04:48:50 PM   31    0.00    0.00    2.15    0.00    0.00    0.00    0.00    0.00    0.00   97.85

04:48:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:48:51 PM  all    1.10    0.00    5.00    0.00    0.00    2.80    0.00    0.00    0.00   91.11
04:48:51 PM    0    2.02    0.00   12.12    0.00    0.00    2.02    0.00    0.00    0.00   83.84
04:48:51 PM    1    3.16    0.00   10.53    0.00    0.00    1.05    0.00    0.00    0.00   85.26
04:48:51 PM    2    1.04    0.00    8.33    0.00    0.00    1.04    0.00    0.00    0.00   89.58
04:48:51 PM    3    1.04    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   91.67
04:48:51 PM    4    1.05    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   92.63
04:48:51 PM    5    1.05    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   94.74
04:48:51 PM    6    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
04:48:51 PM    7    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:48:51 PM    8    0.00    0.00    0.00    0.00    0.00   92.31    0.00    0.00    0.00    7.69
04:48:51 PM    9    1.08    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   95.70
04:48:51 PM   10    0.00    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   95.74
04:48:51 PM   11    1.09    0.00    4.35    0.00    0.00    0.00    0.00    0.00    0.00   94.57
04:48:51 PM   12    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
04:48:51 PM   13    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
04:48:51 PM   14    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91
04:48:51 PM   15    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
04:48:51 PM   16    1.03    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   93.81
04:48:51 PM   17    1.04    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   93.75
04:48:51 PM   18    1.04    0.00    4.17    0.00    0.00    1.04    0.00    0.00    0.00   93.75
04:48:51 PM   19    0.00    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   95.79
04:48:51 PM   20    2.06    0.00   11.34    0.00    0.00    1.03    0.00    0.00    0.00   85.57
04:48:51 PM   21    1.02    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   93.88
04:48:51 PM   22    1.10    0.00    3.30    0.00    0.00    6.59    0.00    0.00    0.00   89.01
04:48:51 PM   23    1.04    0.00    6.25    0.00    0.00   12.50    0.00    0.00    0.00   80.21
04:48:51 PM   24    2.22    0.00    7.78    0.00    0.00   13.33    0.00    0.00    0.00   76.67
04:48:51 PM   25    2.17    0.00    7.61    0.00    0.00   11.96    0.00    0.00    0.00   78.26
04:48:51 PM   26    1.02    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   91.84
04:48:51 PM   27    2.02    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   90.91
04:48:51 PM   28    0.00    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   97.87
04:48:51 PM   29    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
04:48:51 PM   30    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:48:51 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:48:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:48:52 PM  all    0.67    0.00    5.32    0.00    0.00    1.91    0.00    0.00    0.00   92.11
04:48:52 PM    0    2.11    0.00   11.58    0.00    0.00    2.11    0.00    0.00    0.00   84.21
04:48:52 PM    1    1.06    0.00    6.38    0.00    0.00    1.06    0.00    0.00    0.00   91.49
04:48:52 PM    2    1.10    0.00    8.79    0.00    0.00    0.00    0.00    0.00    0.00   90.11
04:48:52 PM    3    1.03    0.00    7.22    0.00    0.00    1.03    0.00    0.00    0.00   90.72
04:48:52 PM    4    1.05    0.00    9.47    0.00    0.00    0.00    0.00    0.00    0.00   89.47
04:48:52 PM    5    0.00    0.00    5.43    0.00    0.00    1.09    0.00    0.00    0.00   93.48
04:48:52 PM    6    1.04    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   94.79
04:48:52 PM    7    1.06    0.00    5.32    0.00    0.00    0.00    0.00    0.00    0.00   93.62
04:48:52 PM    8    0.00    0.00    0.00    0.00    0.00   84.21    0.00    0.00    0.00   15.79
04:48:52 PM    9    1.04    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   95.83
04:48:52 PM   10    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
04:48:52 PM   11    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
04:48:52 PM   12    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
04:48:52 PM   13    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
04:48:52 PM   14    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:48:52 PM   15    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:48:52 PM   16    0.00    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   91.67
04:48:52 PM   17    1.03    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:48:52 PM   18    2.04    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   82.65
04:48:52 PM   19    1.09    0.00    7.61    0.00    0.00    0.00    0.00    0.00    0.00   91.30
04:48:52 PM   20    0.00    0.00    6.45    0.00    0.00    0.00    0.00    0.00    0.00   93.55
04:48:52 PM   21    0.00    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   90.72
04:48:52 PM   22    1.08    0.00    6.45    0.00    0.00    7.53    0.00    0.00    0.00   84.95
04:48:52 PM   23    1.06    0.00    5.32    0.00    0.00    9.57    0.00    0.00    0.00   84.04
04:48:52 PM   24    0.00    0.00    3.41    0.00    0.00   11.36    0.00    0.00    0.00   85.23
04:48:52 PM   25    1.06    0.00    6.38    0.00    0.00   10.64    0.00    0.00    0.00   81.91
04:48:52 PM   26    1.02    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   93.88
04:48:52 PM   27    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
04:48:52 PM   28    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:48:52 PM   29    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:48:52 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:52 PM   31    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99

04:48:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:48:53 PM  all    0.66    0.00    4.71    0.00    0.00    2.52    0.00    0.00    0.00   92.10
04:48:53 PM    0    2.11    0.00   15.79    0.00    0.00    1.05    0.00    0.00    0.00   81.05
04:48:53 PM    1    1.08    0.00    9.68    0.00    0.00    0.00    0.00    0.00    0.00   89.25
04:48:53 PM    2    1.06    0.00    7.45    0.00    0.00    1.06    0.00    0.00    0.00   90.43
04:48:53 PM    3    0.00    0.00   10.75    0.00    0.00    0.00    0.00    0.00    0.00   89.25
04:48:53 PM    4    2.08    0.00   10.42    0.00    0.00    1.04    0.00    0.00    0.00   86.46
04:48:53 PM    5    0.00    0.00    9.68    0.00    0.00    0.00    0.00    0.00    0.00   90.32
04:48:53 PM    6    1.06    0.00    9.57    0.00    0.00    0.00    0.00    0.00    0.00   89.36
04:48:53 PM    7    0.00    0.00    9.47    0.00    0.00    0.00    0.00    0.00    0.00   90.53
04:48:53 PM    8    0.00    0.00    0.00    0.00    0.00   94.12    0.00    0.00    0.00    5.88
04:48:53 PM    9    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
04:48:53 PM   10    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:48:53 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:53 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:53 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:53 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:53 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:53 PM   16    2.22    0.00   13.33    0.00    0.00    0.00    0.00    0.00    0.00   84.44
04:48:53 PM   17    0.00    0.00    5.49    0.00    0.00    0.00    0.00    0.00    0.00   94.51
04:48:53 PM   18    1.06    0.00    9.57    0.00    0.00    0.00    0.00    0.00    0.00   89.36
04:48:53 PM   19    1.10    0.00    7.69    0.00    0.00    0.00    0.00    0.00    0.00   91.21
04:48:53 PM   20    2.15    0.00    8.60    0.00    0.00    0.00    0.00    0.00    0.00   89.25
04:48:53 PM   21    2.11    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   90.53
04:48:53 PM   22    1.08    0.00    5.38    0.00    0.00    7.53    0.00    0.00    0.00   86.02
04:48:53 PM   23    1.11    0.00    3.33    0.00    0.00    5.56    0.00    0.00    0.00   90.00
04:48:53 PM   24    1.14    0.00    1.14    0.00    0.00    7.95    0.00    0.00    0.00   89.77
04:48:53 PM   25    1.10    0.00    2.20    0.00    0.00    6.59    0.00    0.00    0.00   90.11
04:48:53 PM   26    0.98    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   97.06
04:48:53 PM   27    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:48:53 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:53 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:53 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:48:53 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:48:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:48:54 PM  all    0.54    0.00    4.49    0.00    0.00    1.91    0.00    0.00    0.00   93.07
04:48:54 PM    0    1.11    0.00   14.44    0.00    0.00    2.22    0.00    0.00    0.00   82.22
04:48:54 PM    1    1.04    0.00    9.38    0.00    0.00    1.04    0.00    0.00    0.00   88.54
04:48:54 PM    2    1.09    0.00    8.70    0.00    0.00    0.00    0.00    0.00    0.00   90.22
04:48:54 PM    3    1.03    0.00    8.25    0.00    0.00    1.03    0.00    0.00    0.00   89.69
04:48:54 PM    4    1.08    0.00    9.68    0.00    0.00    0.00    0.00    0.00    0.00   89.25
04:48:54 PM    5    1.08    0.00    8.60    0.00    0.00    0.00    0.00    0.00    0.00   90.32
04:48:54 PM    6    1.06    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   90.43
