Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/2026 	_x86_64_	(32 CPU)

04:38:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:38:12 PM  all    1.05    0.00    5.54    0.00    0.00    5.96    0.00    0.00    0.00   87.45
04:38:12 PM    0    2.02    0.00    8.08    0.00    0.00    1.01    0.00    0.00    0.00   88.89
04:38:12 PM    1    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:38:12 PM    2    1.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
04:38:12 PM    3    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:38:12 PM    4    4.08    0.00   17.35    0.00    0.00    1.02    0.00    0.00    0.00   77.55
04:38:12 PM    5    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:38:12 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:38:12 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:38:12 PM    8    1.00    0.00    0.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
04:38:12 PM    9    2.41    0.00   13.25    0.00    0.00    1.20    0.00    0.00    0.00   83.13
04:38:12 PM   10    2.38    0.00   11.90    0.00    0.00    0.00    0.00    0.00    0.00   85.71
04:38:12 PM   11    2.35    0.00   12.94    0.00    0.00    0.00    0.00    0.00    0.00   84.71
04:38:12 PM   12    2.35    0.00   11.76    0.00    0.00    1.18    0.00    0.00    0.00   84.71
04:38:12 PM   13    3.53    0.00   11.76    0.00    0.00    0.00    0.00    0.00    0.00   84.71
04:38:12 PM   14    1.20    0.00    8.43    0.00    0.00    0.00    0.00    0.00    0.00   90.36
04:38:12 PM   15    1.09    0.00    8.70    0.00    0.00    0.00    0.00    0.00    0.00   90.22
04:38:12 PM   16    2.02    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   88.89
04:38:12 PM   17    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:38:12 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:38:12 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:38:12 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:38:12 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:38:12 PM   22    0.00    0.00    2.08    0.00    0.00   18.75    0.00    0.00    0.00   79.17
04:38:12 PM   23    1.05    0.00    0.00    0.00    0.00   18.95    0.00    0.00    0.00   80.00
04:38:12 PM   24    1.08    0.00    9.68    0.00    0.00   22.58    0.00    0.00    0.00   66.67
04:38:12 PM   25    2.04    0.00   11.22    0.00    0.00   21.43    0.00    0.00    0.00   65.31
04:38:12 PM   26    1.05    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   91.58
04:38:12 PM   27    1.02    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   86.73
04:38:12 PM   28    1.05    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   91.58
04:38:12 PM   29    1.02    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   91.84
04:38:12 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:38:12 PM   31    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97

04:38:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:38:13 PM  all    1.18    0.00    6.25    0.00    0.00    5.33    0.00    0.00    0.00   87.24
04:38:13 PM    0    2.06    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:38:13 PM    1    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:38:13 PM    2    1.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
04:38:13 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:38:13 PM    4    4.08    0.00   20.41    0.00    0.00    0.00    0.00    0.00    0.00   75.51
04:38:13 PM    5    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:38:13 PM    6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:38:13 PM    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:38:13 PM    8    1.00    0.00    0.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
04:38:13 PM    9    2.35    0.00   11.76    0.00    0.00    0.00    0.00    0.00    0.00   85.88
04:38:13 PM   10    2.30    0.00   13.79    0.00    0.00    0.00    0.00    0.00    0.00   83.91
04:38:13 PM   11    2.30    0.00   12.64    0.00    0.00    0.00    0.00    0.00    0.00   85.06
04:38:13 PM   12    2.30    0.00   11.49    0.00    0.00    0.00    0.00    0.00    0.00   86.21
04:38:13 PM   13    2.25    0.00    8.99    0.00    0.00    0.00    0.00    0.00    0.00   88.76
04:38:13 PM   14    2.25    0.00   11.24    0.00    0.00    0.00    0.00    0.00    0.00   86.52
04:38:13 PM   15    2.15    0.00   11.83    0.00    0.00    1.08    0.00    0.00    0.00   84.95
