Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/2026 	_x86_64_	(32 CPU)

04:37:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:37:41 PM  all    1.11    0.00    5.46    0.00    0.00    5.79    0.00    0.00    0.00   87.63
04:37:41 PM    0    2.04    0.00   11.22    0.00    0.00    1.02    0.00    0.00    0.00   85.71
04:37:41 PM    1    1.98    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   93.07
04:37:41 PM    2    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
04:37:41 PM    3    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
04:37:41 PM    4    3.03    0.00   11.11    0.00    0.00    1.01    0.00    0.00    0.00   84.85
04:37:41 PM    5    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:37:41 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:41 PM    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:37:41 PM    8    0.99    0.00    0.00    0.00    0.00   99.01    0.00    0.00    0.00    0.00
04:37:41 PM    9    2.50    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   82.50
04:37:41 PM   10    2.38    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   83.33
04:37:41 PM   11    2.44    0.00   10.98    0.00    0.00    0.00    0.00    0.00    0.00   86.59
04:37:41 PM   12    3.57    0.00   11.90    0.00    0.00    0.00    0.00    0.00    0.00   84.52
04:37:41 PM   13    2.41    0.00    9.64    0.00    0.00    0.00    0.00    0.00    0.00   87.95
04:37:41 PM   14    1.16    0.00    8.14    0.00    0.00    0.00    0.00    0.00    0.00   90.70
04:37:41 PM   15    1.11    0.00    5.56    0.00    0.00    0.00    0.00    0.00    0.00   93.33
04:37:41 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:41 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:41 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:41 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:41 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:41 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:41 PM   22    1.04    0.00    5.21    0.00    0.00   19.79    0.00    0.00    0.00   73.96
04:37:41 PM   23    1.04    0.00    3.12    0.00    0.00   16.67    0.00    0.00    0.00   79.17
04:37:41 PM   24    2.11    0.00   12.63    0.00    0.00   23.16    0.00    0.00    0.00   62.11
04:37:41 PM   25    2.17    0.00    9.78    0.00    0.00   18.48    0.00    0.00    0.00   69.57
04:37:41 PM   26    1.03    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   90.72
04:37:41 PM   27    3.03    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   85.86
04:37:41 PM   28    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
04:37:41 PM   29    1.01    0.00   10.10    0.00    0.00    1.01    0.00    0.00    0.00   87.88
04:37:41 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:41 PM   31    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98

04:37:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:37:42 PM  all    1.11    0.00    5.61    0.00    0.00    5.48    0.00    0.00    0.00   87.80
04:37:42 PM    0    3.09    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   84.54
04:37:42 PM    1    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
04:37:42 PM    2    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
04:37:42 PM    3    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:37:42 PM    4    3.09    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   86.60
04:37:42 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:37:42 PM    6    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:37:42 PM    7    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:37:42 PM    8    1.01    0.00    0.00    0.00    0.00   98.99    0.00    0.00    0.00    0.00
04:37:42 PM    9    2.41    0.00   12.05    0.00    0.00    0.00    0.00    0.00    0.00   85.54
