Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/2026 	_x86_64_	(32 CPU)

04:53:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:53:59 PM  all    4.67    0.00    6.12    0.00    0.00    5.33    0.00    0.00    0.00   83.89
04:53:59 PM    0    1.02    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   94.90
04:53:59 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
04:53:59 PM    2    4.49    0.00   16.85    0.00    0.00    1.12    0.00    0.00    0.00   77.53
04:53:59 PM    3    2.33    0.00   12.79    0.00    0.00    1.16    0.00    0.00    0.00   83.72
04:53:59 PM    4    3.57    0.00   11.90    0.00    0.00    0.00    0.00    0.00    0.00   84.52
04:53:59 PM    5    3.53    0.00    9.41    0.00    0.00    0.00    0.00    0.00    0.00   87.06
04:53:59 PM    6    2.30    0.00   10.34    0.00    0.00    1.15    0.00    0.00    0.00   86.21
04:53:59 PM    7    3.33    0.00    6.67    0.00    0.00    1.11    0.00    0.00    0.00   88.89
04:53:59 PM    8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:53:59 PM    9    1.02    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   84.69
04:53:59 PM   10    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
04:53:59 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:53:59 PM   12    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:53:59 PM   13    3.03    0.00   13.13    0.00    0.00    1.01    0.00    0.00    0.00   82.83
04:53:59 PM   14    1.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
04:53:59 PM   15    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
04:53:59 PM   16    5.32    0.00   18.09    0.00    0.00    1.06    0.00    0.00    0.00   75.53
04:53:59 PM   17    2.20    0.00    4.40    0.00    0.00    0.00    0.00    0.00    0.00   93.41
04:53:59 PM   18    4.55    0.00   20.45    0.00    0.00    0.00    0.00    0.00    0.00   75.00
04:53:59 PM   19    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
04:53:59 PM   20    2.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
04:53:59 PM   21    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:53:59 PM   22    0.00    0.00    0.00    0.00    0.00   11.63    0.00    0.00    0.00   88.37
04:53:59 PM   23    0.00    0.00    0.00    0.00    0.00    9.41    0.00    0.00    0.00   90.59
04:53:59 PM   24    2.04    0.00   11.22    0.00    0.00   25.51    0.00    0.00    0.00   61.22
04:53:59 PM   25    2.27    0.00    7.95    0.00    0.00   14.77    0.00    0.00    0.00   75.00
04:53:59 PM   26    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
04:53:59 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:53:59 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:53:59 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:53:59 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:53:59 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:53:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:54:00 PM  all    4.79    0.00    7.72    0.00    0.00    5.75    0.00    0.00    0.00   81.75
04:54:00 PM    0    1.00    0.00    8.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
04:54:00 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
04:54:00 PM    2    3.57    0.00   13.10    0.00    0.00    0.00    0.00    0.00    0.00   83.33
04:54:00 PM    3    4.65    0.00   12.79    0.00    0.00    0.00    0.00    0.00    0.00   82.56
04:54:00 PM    4    4.65    0.00   13.95    0.00    0.00    0.00    0.00    0.00    0.00   81.40
04:54:00 PM    5    3.49    0.00   13.95    0.00    0.00    0.00    0.00    0.00    0.00   82.56
04:54:00 PM    6    3.45    0.00   14.94    0.00    0.00    0.00    0.00    0.00    0.00   81.61
04:54:00 PM    7    4.71    0.00   18.82    0.00    0.00    0.00    0.00    0.00    0.00   76.47
04:54:00 PM    8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:54:00 PM    9    3.06    0.00   14.29    0.00    0.00    1.02    0.00    0.00    0.00   81.63
04:54:00 PM   10    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:54:00 PM   11    2.02    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   86.87
04:54:00 PM   12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:54:00 PM   13    2.02    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   83.84
04:54:00 PM   14    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:54:00 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:00 PM   16    3.23    0.00   16.13    0.00    0.00    1.08    0.00    0.00    0.00   79.57
04:54:00 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:00 PM   18    3.19    0.00   18.09    0.00    0.00    1.06    0.00    0.00    0.00   77.66
04:54:00 PM   19    3.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
04:54:00 PM   20    4.08    0.00   26.53    0.00    0.00    1.02    0.00    0.00    0.00   68.37
04:54:00 PM   21    1.04    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   87.50
04:54:00 PM   22    0.00    0.00    0.00    0.00    0.00   21.28    0.00    0.00    0.00   78.72
04:54:00 PM   23    0.00    0.00    1.09    0.00    0.00   18.48    0.00    0.00    0.00   80.43
04:54:00 PM   24    1.06    0.00    4.26    0.00    0.00   29.79    0.00    0.00    0.00   64.89
04:54:00 PM   25    0.00    0.00    4.05    0.00    0.00    5.41    0.00    0.00    0.00   90.54
04:54:00 PM   26    0.98    0.00    4.90    0.00    0.00    0.00    0.00    0.00    0.00   94.12
04:54:00 PM   27    1.01    0.00    9.09    0.00    0.00    1.01    0.00    0.00    0.00   88.89
04:54:00 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:00 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:00 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:00 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:54:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:54:01 PM  all    4.61    0.00    6.79    0.00    0.00    5.30    0.00    0.00    0.00   83.29
04:54:01 PM    0    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
04:54:01 PM    1    0.00    0.00    0.00    0.00    0.00   99.00    0.00    0.00    0.00    1.00
04:54:01 PM    2    2.30    0.00   14.94    0.00    0.00    0.00    0.00    0.00    0.00   82.76
04:54:01 PM    3    2.35    0.00   11.76    0.00    0.00    0.00    0.00    0.00    0.00   85.88
04:54:01 PM    4    4.55    0.00   14.77    0.00    0.00    1.14    0.00    0.00    0.00   79.55
04:54:01 PM    5    3.37    0.00   13.48    0.00    0.00    0.00    0.00    0.00    0.00   83.15
04:54:01 PM    6    3.57    0.00   10.71    0.00    0.00    0.00    0.00    0.00    0.00   85.71
04:54:01 PM    7    2.30    0.00   13.79    0.00    0.00    0.00    0.00    0.00    0.00   83.91
04:54:01 PM    8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:54:01 PM    9    2.04    0.00   17.35    0.00    0.00    1.02    0.00    0.00    0.00   79.59
04:54:01 PM   10    1.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
04:54:01 PM   11    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   93.88
04:54:01 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:01 PM   13    3.03    0.00   15.15    0.00    0.00    1.01    0.00    0.00    0.00   80.81
04:54:01 PM   14    1.92    0.00    5.77    0.00    0.00    0.96    0.00    0.00    0.00   91.35
04:54:01 PM   15    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
04:54:01 PM   16    3.19    0.00   13.83    0.00    0.00    0.00    0.00    0.00    0.00   82.98
04:54:01 PM   17    1.10    0.00    4.40    0.00    0.00    0.00    0.00    0.00    0.00   94.51
04:54:01 PM   18    2.04    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   82.65
