Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/2026 	_x86_64_	(32 CPU)

04:44:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:44:41 PM  all    4.66    0.00    6.19    0.00    0.00    4.50    0.00    0.00    0.00   84.66
04:44:41 PM    0    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:44:41 PM    1    0.00    0.00    0.00    0.00    0.00   95.10    0.00    0.00    0.00    4.90
04:44:41 PM    2    2.13    0.00   11.70    0.00    0.00    1.06    0.00    0.00    0.00   85.11
04:44:41 PM    3    2.13    0.00    9.57    0.00    0.00    0.00    0.00    0.00    0.00   88.30
04:44:41 PM    4    2.20    0.00    8.79    0.00    0.00    0.00    0.00    0.00    0.00   89.01
04:44:41 PM    5    2.20    0.00    7.69    0.00    0.00    0.00    0.00    0.00    0.00   90.11
04:44:41 PM    6    2.17    0.00    5.43    0.00    0.00    0.00    0.00    0.00    0.00   92.39
04:44:41 PM    7    2.11    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   92.63
04:44:41 PM    8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:44:41 PM    9    2.06    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:44:41 PM   10    1.01    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   89.90
04:44:41 PM   11    1.02    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   92.86
04:44:41 PM   12    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:44:41 PM   13    0.00    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   95.74
04:44:41 PM   14    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
04:44:41 PM   15    1.03    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   94.85
04:44:41 PM   16    2.04    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   87.76
04:44:41 PM   17    2.13    0.00    6.38    0.00    0.00    0.00    0.00    0.00    0.00   91.49
04:44:41 PM   18    3.00    0.00   10.00    0.00    0.00    1.00    0.00    0.00    0.00   86.00
04:44:41 PM   19    1.09    0.00    3.26    0.00    0.00    0.00    0.00    0.00    0.00   95.65
04:44:41 PM   20    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:44:41 PM   21    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:44:41 PM   22    1.12    0.00    1.12    0.00    0.00   11.24    0.00    0.00    0.00   86.52
04:44:41 PM   23    0.00    0.00    1.12    0.00    0.00    8.99    0.00    0.00    0.00   89.89
04:44:41 PM   24    2.11    0.00   11.58    0.00    0.00   14.74    0.00    0.00    0.00   71.58
04:44:41 PM   25    1.11    0.00    5.56    0.00    0.00    7.78    0.00    0.00    0.00   85.56
04:44:41 PM   26    3.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
04:44:41 PM   27    2.02    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   85.86
04:44:41 PM   28    2.13    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   89.36
04:44:41 PM   29    2.04    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   84.69
04:44:41 PM   30    1.03    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   91.75
04:44:41 PM   31    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97

