Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/2026 	_x86_64_	(32 CPU)

04:41:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:41:45 PM  all    1.34    0.00    7.33    0.00    0.00    6.38    0.00    0.00    0.00   84.95
04:41:45 PM    0    2.06    0.00   13.40    0.00    0.00    1.03    0.00    0.00    0.00   83.51
04:41:45 PM    1    0.00    0.00    0.00    0.00    0.00   99.01    0.00    0.00    0.00    0.99
04:41:45 PM    2    3.41    0.00   22.73    0.00    0.00    2.27    0.00    0.00    0.00   71.59
04:41:45 PM    3    3.49    0.00   16.28    0.00    0.00    0.00    0.00    0.00    0.00   80.23
04:41:45 PM    4    3.45    0.00   16.09    0.00    0.00    0.00    0.00    0.00    0.00   80.46
04:41:45 PM    5    3.45    0.00   14.94    0.00    0.00    0.00    0.00    0.00    0.00   81.61
04:41:45 PM    6    3.45    0.00   17.24    0.00    0.00    1.15    0.00    0.00    0.00   78.16
04:41:45 PM    7    2.30    0.00   14.94    0.00    0.00    0.00    0.00    0.00    0.00   82.76
04:41:45 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:45 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:45 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:45 PM   11    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:41:45 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:45 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:45 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:45 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:45 PM   16    2.15    0.00   17.20    0.00    0.00    2.15    0.00    0.00    0.00   78.49
04:41:45 PM   17    1.03    0.00   11.34    0.00    0.00    1.03    0.00    0.00    0.00   86.60
04:41:45 PM   18    3.37    0.00   16.85    0.00    0.00    0.00    0.00    0.00    0.00   79.78
04:41:45 PM   19    1.05    0.00   13.68    0.00    0.00    1.05    0.00    0.00    0.00   84.21
04:41:45 PM   20    3.12    0.00   19.79    0.00    0.00    1.04    0.00    0.00    0.00   76.04
04:41:45 PM   21    3.00    0.00   20.00    0.00    0.00    2.00    0.00    0.00    0.00   75.00
04:41:45 PM   22    2.17    0.00    7.61    0.00    0.00   20.65    0.00    0.00    0.00   69.57
04:41:45 PM   23    2.11    0.00    9.47    0.00    0.00   20.00    0.00    0.00    0.00   68.42
04:41:45 PM   24    2.13    0.00    7.45    0.00    0.00   27.66    0.00    0.00    0.00   62.77
