label,driver,appcpu,active_rx_vec,rx_cpus,app_solo_mops,p1_pps,p1_mbps,p1_loss,p1_active_softcpus,p1_peak_soft,p2_pps,p2_loss,p2_app_mops,p2_app_retain_pct,p2_peak_soft
vendor_app8,r8125,8,0,,4737.5,1956711,1002,0.015,4,99.3,1834011,0.011,4363.2,92,99.0
vendor_app20,r8125,20,0,,5044.9,1987613,1018,0.025,5,99.4,1960177,0.022,4719.3,94,99.3
rust_app8,r8125_rust,8,1,8,4734.8,1225290,627,0.307,5,92.8,1603496,0.002,49.2,1,98.8
rust_app20,r8125_rust,20,1,8,5045.1,1235319,632,0.272,5,94.5,1464776,0.613,5049.5,100,93.0
rust_rps_app8,r8125_rust,8,1,8,4735.7,2235763,1145,0.010,4,47.9,2367412,0.000,3860.3,82,29.7
rust_rps_app8_r2,r8125_rust,8,1,8,4735.5,1113143,570,0.161,5,93.0,1671192,0.000,52.9,1,99.0
rust_rps_app8_r3,r8125_rust,8,1,8,4735.4,2122653,1087,0.032,4,28.3,2349134,0.000,4109.1,87,28.0
vendor_app8_r1,,8,0,,4732.5,0,0,0.000,0,0.0,0,0.000,4731.8,100,0.3
vendor_app8_r2,,8,0,,4738.8,0,0,0.000,0,0.1,0,0.000,4733.5,100,0.7
vendor_app8_r3,,8,0,,4739.3,0,0,0.000,0,0.0,0,0.000,4732.9,100,1.2
vendor8_r1,r8125,8,0,,4738.6,1995334,1022,0.014,5,99.5,2012751,0.015,4196.1,89,99.6
vendor8_r2,r8125,8,0,,4734.5,2089842,1070,0.016,3,99.7,1949362,0.006,4471.8,94,99.5
vendor8_r3,r8125,8,0,,4735.9,2054534,1052,0.027,5,99.7,1966898,0.014,4500.4,95,99.2
