Linux 7.0.0-22-generic (ms-a2-gateway) 	06/08/2026 	_x86_64_	(32 CPU)

11:17:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:17:28 PM  all    0.00    0.00   12.26    0.03    0.00    4.49    0.00    0.00    0.00   83.23
11:17:28 PM    0    0.00    0.00   97.98    0.00    0.00    0.00    0.00    0.00    0.00    2.02
11:17:28 PM    1    0.00    0.00   97.98    0.00    0.00    0.00    0.00    0.00    0.00    2.02
11:17:28 PM    2    0.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
11:17:28 PM    3    0.00    0.00   97.98    0.00    0.00    0.00    0.00    0.00    0.00    2.02
11:17:28 PM    4    0.00    0.00    0.00    0.00    0.00    5.71    0.00    0.00    0.00   94.29
11:17:28 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   16    0.00    0.00    0.00    0.00    0.00   50.00    0.00    0.00    0.00   50.00
11:17:28 PM   17    0.00    0.00    0.00    0.00    0.00   30.53    0.00    0.00    0.00   69.47
11:17:28 PM   18    0.00    0.00    0.00    0.00    0.00    9.78    0.00    0.00    0.00   90.22
11:17:28 PM   19    0.00    0.00    0.00    0.00    0.00   37.63    0.00    0.00    0.00   62.37
11:17:28 PM   20    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
11:17:28 PM   21    0.00    0.00    0.00    0.00    0.00    6.25    0.00    0.00    0.00   93.75
11:17:28 PM   22    0.00    0.00    0.00    0.00    0.00    5.32    0.00    0.00    0.00   94.68
11:17:28 PM   23    0.00    0.00    0.00    0.00    0.00    3.06    0.00    0.00    0.00   96.94
11:17:28 PM   24    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
11:17:28 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:28 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:17:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:17:29 PM  all    0.00    0.00   12.59    0.00    0.00    4.91    0.00    0.00    0.00   82.50
11:17:29 PM    0    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:17:29 PM    1    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:17:29 PM    2    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:17:29 PM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:17:29 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:29 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:17:29 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
